ticker,index_used,delta_RE,p_value,significant,r2,epsilon,delta_market,n_obs,market_cap_usd,Security,tier,GICS Sub-Industry,dollar_exposure_usd,exposure_billions,market_cap_billions,exposure_pct_mcap
AMD.O,SMM,0.085102,0.7554,False,0.2661,0.143185,1.5878,134,329312129970.21,Advanced Micro Devices,high,Semiconductors,4461951223.104321,4.461951223104321,329.31212997021004,1.3549307228701093
ALB.N,SMM,0.274721,0.1632,False,0.3523,0.102935,1.3714,134,21154801872.15,Albemarle Corporation,high,Specialty Chemicals,925290588.3333759,0.925290588333376,21.154801872150003,4.3739033526544535
AME.N,SMM,0.053339,0.3899,False,0.7342,0.032486,0.9942,134,47929650363.96,Ametek,high,Electrical Components & Equipment,407030031.93725,0.40703003193725,47.92965036396,0.8492238704985636
ADI.O,SMM,-0.01033,0.922,False,0.5154,0.055352,1.0551,134,150093486028.08,Analog Devices,high,Semiconductors,246853614.0329852,0.2468536140329852,150.09348602807998,0.16446657384371965
AAPL.O,SMM,-0.051088,0.6668,False,0.3622,0.062195,0.8672,134,3658032506400.0,Apple Inc.,high,"Technology Hardware, Storage & Peripherals",29753892215.506588,29.75389221550659,3658.0325064,0.8133851233812149
AMAT.O,SMM,0.253623,0.063,False,0.546,0.071053,1.4126,134,267581438856.39,Applied Materials,high,Semiconductor Materials & Equipment,10804929657.095898,10.804929657095897,267.58143885639004,4.037996694865993
APTV.N,SMM,0.056291,0.6696,False,0.5952,0.069157,1.5462,134,14288994428.0,Aptiv,high,Automotive Parts & Equipment,128061314.26455694,0.12806131426455694,14.288994428,0.8962234180287341
AXON.N,SMM,-0.336908,0.248,False,0.174,0.134621,0.9954,95,34566176389.5,Axon Enterprise,high,Aerospace & Defense,1854129181.5524132,1.8541291815524132,34.5661763895,5.363998495696022
BA.N,SMM,0.217006,0.1994,False,0.3514,0.088399,1.1788,134,149719025552.8,Boeing,high,Aerospace & Defense,5172804409.439511,5.172804409439511,149.7190255528,3.4550080661694316
AVGO.O,SMM,-0.221189,0.1574,False,0.2632,0.081711,0.8923,134,1423620029565.12,Broadcom,high,Semiconductors,50134298055.56339,50.13429805556339,1423.6200295651201,3.5216066797597776
CAT.N,SMM,0.109409,0.3569,False,0.4803,0.062163,1.0956,134,323560810672.8,Caterpillar Inc.,high,Construction Machinery & Heavy Transportation Equipment,5636198593.828157,5.636198593828158,323.56081067279996,1.7419286909649105
CMI.N,SMM,-0.016291,0.8729,False,0.4695,0.053393,0.9287,134,72293696860.12,Cummins,high,Construction Machinery & Heavy Transportation Equipment,187510460.84173566,0.18751046084173567,72.29369686012,0.25937318049254954
DOV.N,SMM,-0.017594,0.8085,False,0.698,0.038064,1.0698,134,27848946570.0,Dover Corporation,high,Industrial Machinery & Supplies & Components,78010072.8358855,0.0780100728358855,27.84894657,0.28011857698029075
DD.N,SMM,0.09743,0.4883,False,0.4953,0.067024,1.1264,102,18507893767.82,DuPont,high,Specialty Chemicals,287095922.47981846,0.28709592247981847,18.50789376782,1.5512079660787614
ETN.N,SMM,0.028537,0.7427,False,0.5843,0.045574,0.9968,134,138650441102.4,Eaton Corporation,high,Electrical Components & Equipment,629951181.236484,0.6299511812364841,138.65044110239998,0.4543448807142524
ECL.N,SMM,0.059685,0.4751,False,0.5083,0.043779,0.8182,134,73817100242.16,Ecolab,high,Specialty Chemicals,701454495.3731823,0.7014544953731823,73.81710024216001,0.9502601606836794
EMR.N,SMM,0.04615,0.6063,False,0.6416,0.046929,1.1575,134,70474800000.0,Emerson Electric,high,Electrical Components & Equipment,517824841.8756354,0.5178248418756354,70.4748,0.7347659615573728
FSLR.O,SMM,-0.396168,0.1158,False,0.1935,0.131483,1.1588,134,20420209048.26,First Solar,high,Semiconductors,1288003077.1386523,1.2880030771386524,20.42020904826,6.307492122605879
F.N,SMM,0.134556,0.3365,False,0.4609,0.073277,1.2409,134,45606005307.57,Ford Motor Company,high,Automobile Manufacturers,977017686.1408172,0.9770176861408172,45.60600530757,2.1423005140479714
FTV.N,SMM,-0.104738,0.2101,False,0.6197,0.041903,0.9631,117,16599767524.8,Fortive,high,Industrial Machinery & Supplies & Components,276811167.0785014,0.2768111670785014,16.5997675248,1.6675605044766224
FCX.N,SMM,0.561795,0.0252,True,0.3614,0.130331,1.7235,134,80828218321.44,Freeport-McMoRan,high,Copper,7229665422.44838,7.22966542244838,80.82821832144,8.94448197991602
GE.N,SMM,0.0626,0.6936,False,0.3334,0.083299,1.0846,134,295488259741.62,GE Aerospace,high,Aerospace & Defense,2945044675.54771,2.94504467554771,295.48825974161997,0.9966706217441288
GEV.N,SMM,-0.013131,0.984,False,0.1457,0.105919,1.0085,24,229951757506.24,GE Vernova,high,Heavy Electrical Equipment,480741770.24457717,0.48074177024457715,229.95175750624,0.20906201172719097
GNRC.N,SMM,0.546049,0.0099,True,0.3052,0.10967,1.237,134,11406580768.8,Generac,high,Electrical Components & Equipment,991663708.7147157,0.9916637087147158,11.4065807688,8.6937858839099
GD.N,SMM,0.263964,0.0023,True,0.3856,0.044691,0.6032,134,93918511107.12,General Dynamics,high,Aerospace & Defense,3947055414.867565,3.947055414867565,93.91851110712,4.202638402525035
GM.N,SMM,0.121764,0.3529,False,0.4746,0.068616,1.1953,134,65971573911.94,General Motors,high,Automobile Manufacturers,1278948555.0134048,1.2789485550134048,65.97157391194,1.938635808083899
HWM.N,SMM,0.282385,0.1198,False,0.3726,0.094751,1.3153,134,91374240357.7,Howmet Aerospace,high,Aerospace & Defense,4108116272.4601336,4.1081162724601334,91.3742403577,4.495923858166387
HUBB.N,SMM,-0.125476,0.2248,False,0.4863,0.054046,0.9713,134,25503306311.98,Hubbell Incorporated,high,Industrial Machinery & Supplies & Components,509488606.4509506,0.5094886064509506,25.50330631198,1.9977355101272571
HII.N,SMM,0.208012,0.1428,False,0.2038,0.074122,0.6609,134,15033810116.09,Huntington Ingalls Industries,high,Aerospace & Defense,497891571.1189327,0.49789157111893273,15.03381011609,3.3118122902594207
IEX.N,SMM,-0.029067,0.6938,False,0.6108,0.038707,0.8969,134,13842498014.8,IDEX Corporation,high,Industrial Machinery & Supplies & Components,64060747.84793441,0.0640607478479344,13.842498014799999,0.4627831463616069
ITW.N,SMM,-0.037977,0.5572,False,0.6943,0.033903,0.9451,134,74623744807.04,Illinois Tool Works,high,Industrial Machinery & Supplies & Components,451206157.39869314,0.45120615739869313,74.62374480704,0.604641536772792
IR.N,SMM,0.068065,0.5518,False,0.6066,0.056264,1.2106,106,31114049623.3,Ingersoll Rand,high,Industrial Machinery & Supplies & Components,337176821.77205735,0.3371768217720574,31.114049623299998,1.08368028544751
INTC.O,SMM,0.069818,0.6854,False,0.2104,0.090338,0.8566,134,216556171133.64,Intel,high,Semiconductors,2407217277.831042,2.407217277831042,216.55617113364002,1.1115902471075334
IFF.N,SMM,0.101838,0.4332,False,0.3137,0.068049,0.8412,134,18138639669.21,International Flavors & Fragrances,high,Specialty Chemicals,294097883.3611832,0.2940978833611832,18.13863966921,1.6213888622552488
JBL.N,SMM,-0.027703,0.8447,False,0.3768,0.074174,1.0666,134,27570924213.7,Jabil,high,Electronic Manufacturing Services,121606125.13174082,0.12160612513174082,27.5709242137,0.44106655326162303
KLAC.O,SMM,0.094377,0.4556,False,0.4662,0.066259,1.1372,134,189171075761.31,KLA Corporation,high,Semiconductor Materials & Equipment,2842485287.5360856,2.8424852875360855,189.17107576131,1.502600371698812
LHX.N,SMM,0.406523,0.0002,True,0.3249,0.056547,0.62,134,64064258209.0,L3Harris,high,Aerospace & Defense,4146467326.3361645,4.146467326336165,64.064258209,6.47235672784806
LRCX.O,SMM,0.039,0.7952,False,0.4733,0.078777,1.3776,134,264002677110.0,Lam Research,high,Semiconductor Materials & Equipment,1639269134.3699982,1.6392691343699983,264.00267711,0.6209289815977799
LMT.N,SMM,0.256455,0.0259,True,0.1929,0.059806,0.4834,134,141927790749.12,Lockheed Martin,high,Aerospace & Defense,5795033316.599895,5.795033316599895,141.92779074912,4.083085691683555
LYB.N,SMM,0.227945,0.1163,False,0.2933,0.075738,0.8708,134,25918574730.1,LyondellBasell,high,Specialty Chemicals,940629316.0434113,0.9406293160434113,25.918574730099998,3.6291706848796395
MCHP.O,SMM,0.027435,0.8353,False,0.5444,0.069201,1.3962,134,33550398396.0,Microchip Technology,high,Semiconductors,146548025.005189,0.14654802500518901,33.550398396,0.43679965667013054
MU.O,SMM,0.37994,0.0611,False,0.354,0.105664,1.3924,134,402849157698.22,Micron Technology,high,Semiconductors,24368836949.552937,24.368836949552936,402.84915769822,6.049121981237448
MPWR.O,SMM,-0.108799,0.4734,False,0.3442,0.079498,1.0649,134,51721745180.0,Monolithic Power Systems,high,Semiconductors,895932720.3883711,0.8959327203883711,51.72174518,1.7322167248424836
NTAP.O,SMM,-0.146899,0.3121,False,0.3476,0.076051,1.0245,134,20194793136.0,NetApp,high,"Technology Hardware, Storage & Peripherals",472319169.3730045,0.4723191693730045,20.194793136,2.3388165760956996
NDSN.N,SMM,-0.068137,0.4829,False,0.5842,0.044933,0.8846,95,14515450035.58,Nordson Corporation,high,Industrial Machinery & Supplies & Components,157467465.4000199,0.1574674654000199,14.51545003558,1.0848266158750752
NOC.N,SMM,0.319582,0.0041,True,0.1663,0.057497,0.3755,134,96364780659.0,Northrop Grumman,high,Aerospace & Defense,4903181518.1786995,4.903181518178699,96.364780659,5.088146815307224
NUE.N,SMM,-0.0119,0.9385,False,0.4487,0.080866,1.3484,134,37205172160.28,Nucor,high,Steel,70490015.11535065,0.07049001511535065,37.20517216028,0.1894629456670149
NVDA.O,SMM,-0.200702,0.3358,False,0.3204,0.109136,1.3827,134,4070736000000.0,Nvidia,high,Semiconductors,130077434259.94489,130.07743425994488,4070.736,3.1954279093496822
NXPI.O,SMM,0.009612,0.9422,False,0.5017,0.069488,1.288,134,48431110672.7,NXP Semiconductors,high,Semiconductors,74116604.49952872,0.07411660449952873,48.431110672699994,0.15303511207994516
ON.O,SMM,0.146408,0.3604,False,0.537,0.083801,1.6565,134,22991097925.5,ON Semiconductor,high,Semiconductors,535922317.77999836,0.5359223177799983,22.9910979255,2.330999239429943
OTIS.N,SMM,-0.052262,0.6536,False,0.4591,0.049006,0.7942,72,29523342709.35,Otis Worldwide,high,Industrial Machinery & Supplies & Components,245656849.20708638,0.2456568492070864,29.523342709349997,0.832076677852902
PCAR.N,SMM,-0.141289,0.1743,False,0.55,0.04794,0.8756,95,59336149303.75,Paccar,high,Construction Machinery & Heavy Transportation Equipment,1334765687.8410454,1.3347656878410454,59.33614930375,2.2494983302812495
