Date,REMX.O,MP.N,ALB.N,FCX.N,SQM.N,LIT.O,SPY.N,CNY=,FXI.N,.SPX,COPPE.LME
2015-01-31,,,48.26,16.699037,22.212382,,,,,,
2015-02-28,,,56.57,21.48722,23.925323,,,,,,
2015-03-31,,,52.84,18.824911,16.989772,,,,,,
2015-04-30,,,59.7,23.116395,20.33187,,,,,,
2015-05-31,,,60.15,19.52029,18.181384,,,,,,
2015-06-30,,,55.27,18.497089,14.913762,,,,,,
2015-07-31,,,54.2,11.75,12.577086,,,,,,
2015-08-31,,,45.21,10.64,14.59724,,,,,,
2015-09-30,,,44.1,9.69,13.535961,,,,,,
2015-10-31,,,53.52,11.77,18.041742,,,,,,
2015-11-30,,,53.56,8.18,15.630591,,,,,,
2015-12-31,,,56.01,6.77,17.697292,,,,,,
2016-01-31,,,52.64,4.6,15.109261,,,,,,
2016-02-29,,,56.22,7.63,16.468442,,,,,,
2016-03-31,,,63.93,10.34,19.130949,,,,,,
2016-04-30,,,66.16,14.0,19.915655,,,,,,
2016-05-31,,,78.5,11.08,20.996053,,,,,,
2016-06-30,,,79.31,11.14,23.634901,,,,,,
2016-07-31,,,84.17,12.96,23.692267,,,,,,
2016-08-31,,,79.97,10.29,24.380662,,,,,,
2016-09-30,,,85.49,10.86,25.719209,,,,,,
2016-10-31,,,83.55,11.18,27.975615,,,,,,
2016-11-30,,,87.78,15.35,27.363708,,,,,,
2016-12-31,,,86.08,13.19,27.392391,,,,,,
2017-01-31,,,92.64,16.65,30.901294,,,,,,
2017-02-28,,,101.51,13.4,30.117289,,,,,,
2017-03-31,,,105.64,13.36,32.861308,,,,,,
2017-04-30,,,108.91,12.75,33.989512,,,,,,
2017-05-31,,,113.6,11.49,34.448442,,,,,,
2017-06-30,,,105.54,12.01,31.570567,,,,,,
2017-07-31,,,115.8,14.62,39.305452,,,,,,
2017-08-31,,,116.26,14.78,44.86998,,,,,,
2017-09-30,,,136.31,14.04,53.216771,,,,,,
2017-10-31,,,140.89,13.98,57.117677,,,,,,
2017-11-30,,,134.32,13.92,51.935591,,,,,,
2017-12-31,,,127.89,18.96,56.763919,,,,,,
2018-01-31,,,111.59,19.5,53.905166,,,,,,
2018-02-28,,,100.43,18.6,47.70961,,,,,,
2018-03-31,,,92.74,17.57,46.992532,,,,,,
2018-04-30,,,96.96,15.21,52.480571,,264.45,,46.93,,
2018-05-31,,,93.47,16.9,50.170035,,270.74,,46.69,,
2018-06-30,,,94.33,17.26,46.243434,,271.19,,42.91,,
2018-07-31,,,94.2,16.5,46.455162,,281.22,,43.62,,
2018-08-31,,,95.52,14.05,41.007965,,290.22,,42.37,,
