ticker,company,sector,subsector,delta_PPI,p_value_PPI,significant_PPI,r2,n_obs
CMG.N,Restaurants,Consumer Discretionary,Restaurants,-2.006038,0.2287,False,0.1307,99
SMCI.OQ,"Technology Hardware, Storage & Peripherals",Information Technology,"Technology Hardware, Storage & Peripherals",-1.56031,0.0121,True,0.1381,74
SW.N,Paper & Plastic Packaging Products & Materials,Materials,Paper & Plastic Packaging Products & Materials,-1.378337,0.023,True,0.6037,20
GEV.N,Heavy Electrical Equipment,Industrials,Heavy Electrical Equipment,-1.08605,0.1667,False,0.4866,24
SOLV.N,Health Care Supplies,Health Care,Health Care Supplies,-1.083113,0.001,True,0.5859,24
NVDA.OQ,Semiconductors,Information Technology,Semiconductors,-0.947544,0.3318,False,0.1456,99
KVUE.N,Personal Care Products,Consumer Staples,Personal Care Products,-0.766848,0.139,False,0.2052,34
DXCM.OQ,Health Care Equipment,Health Care,Health Care Equipment,-0.674318,0.03,True,0.2316,99
NFLX.OQ,Movies & Entertainment,Communication Services,Movies & Entertainment,-0.642448,0.1706,False,0.0988,99
FISV.OQ,Transaction & Payment Processing Services,Financials,Transaction & Payment Processing Services,-0.637804,0.0535,False,0.1918,99
BLDR.N,Building Products,Industrials,Building Products,-0.609819,0.0167,True,0.5347,99
SHW.N,Specialty Chemicals,Materials,Specialty Chemicals,-0.56837,0.2022,False,0.209,99
NCLH.N,"Hotels, Resorts & Cruise Lines",Consumer Discretionary,"Hotels, Resorts & Cruise Lines",-0.518337,0.09,False,0.5009,99
XYZ.N,Transaction & Payment Processing Services,Financials,Transaction & Payment Processing Services,-0.517146,0.0819,False,0.5264,99
UAL.OQ,Passenger Airlines,Industrials,Passenger Airlines,-0.501311,0.0113,True,0.373,99
MKC.N,Packaged Foods & Meats,Consumer Staples,Packaged Foods & Meats,-0.477427,0.0275,True,0.1512,99
VRT.N,Electrical Components & Equipment,Industrials,Electrical Components & Equipment,-0.455755,0.1272,False,0.2968,92
GPN.N,Transaction & Payment Processing Services,Financials,Transaction & Payment Processing Services,-0.44511,0.0369,True,0.324,99
VLTO.N,Environmental & Facilities Services,Industrials,Environmental & Facilities Services,-0.442336,0.1236,False,0.4639,30
CLX.N,Household Products,Consumer Staples,Household Products,-0.427515,0.0143,True,0.196,99
TSCO.OQ,Other Specialty Retail,Consumer Discretionary,Other Specialty Retail,-0.42616,0.1348,False,0.1065,99
CPAY.N,Transaction & Payment Processing Services,Financials,Transaction & Payment Processing Services,-0.419495,0.014,True,0.4736,99
CEG.OQ,Electric Utilities,Utilities,Electric Utilities,-0.388363,0.2373,False,0.2932,50
ERIE.OQ,Property & Casualty Insurance,Financials,Property & Casualty Insurance,-0.387653,0.0236,True,0.1667,99
APH.N,Electronic Components,Information Technology,Electronic Components,-0.384633,0.3042,False,0.2547,99
PHM.N,Homebuilding,Consumer Discretionary,Homebuilding,-0.384358,0.0234,True,0.461,99
BAX.N,Health Care Equipment,Health Care,Health Care Equipment,-0.381208,0.0873,False,0.2106,99
DG.N,Consumer Staples Merchandise Retail,Consumer Staples,Consumer Staples Merchandise Retail,-0.380782,0.065,False,0.1177,99
RMD.N,Health Care Equipment,Health Care,Health Care Equipment,-0.375306,0.0372,True,0.1868,99
