Date,AMD.O,ALB.N,AME.N,APH.O,ADI.O,AAPL.O,AMAT.O,APTV.N,AXON.N,BA.N,AVGO.O,CAT.N,COHR.O,GLW.O,CMI.N,DELL.O,DOV.N,DD.N,ETN.N,ECL.N,EMR.N,FSLR.O,F.N,FTV.N,FCX.N,GE.N,GEV.N,GNRC.N,GD.N,GM.N,HPE.O,HWM.N,HPQ.O,HUBB.N,HII.N,IEX.N,ITW.N,IR.N,INTC.O,IFF.N,JBL.N,KEYS.O,KLAC.O,LHX.N,LRCX.O,LMT.N,LYB.N,MCHP.O,MU.O,MPWR.O,NTAP.O,NDSN.N,NOC.N,NUE.N,NVDA.O,NXPI.O,ON.O,OTIS.N,PCAR.N,PH.N,PNR.N,PPG.N,QCOM.O,Q.N,RTX.N,ROK.N,ROP.N,SNDK.O,STX.O,SHW.N,SWKS.O,SNA.N,SWK.N,STLD.N,SMCI.O,TEL.N,TDY.N,TER.O,TSLA.O,TXN.O,TXT.N,TDG.N,TRMB.N,VRT.N,GWW.N,WAB.N,WDC.O,XYL.N,ZBRA.N,ABT.N,A.N,ALGN.O,ANET.O,BAX.N,BDX.N,TECH.N,BSX.N,BR.N,CRL.N,CIEN.O,CSCO.O,COO.N,DHR.N,DXCM.O,EW.N,FFIV.O,GEHC.N,HOLX.O,IDXX.O,PODD.O,ISRG.O,IQV.N,LITE.O,MDT.N,MTD.N,MSI.N,RMD.N,RVTY.N,STE.N,SYK.N,TMO.N,WAT.N,WST.N,ZBH.N,ACN.N,ADBE.O,AFL.N,ABNB.O,ALL.N,GOOGL.O,GOOG.O,MO.N,AMZN.O,AXP.N,AIG.N,APP.O,ACGL.N,AIZ.N,ADSK.O,BAC.N,BKNG.N,BF.B.N,CDNS.O,COF.N,CCL.N,SCHW.N,CMG.N,CB.N,CINF.N,C.N,CFG.N,CTSH.N,STZ.N,DRI.N,DDOG.O,DPZ.N,EBAY.O,EPAM.N,EXPE.N,FICO.N,FITB.N,IT.N,GL.N,GS.N
2015-01-31,2.57,48.26,47.9,,52.105,29.29,22.84,57.567217,,145.37,10.288,79.97,,,139.46,,56.534817,,63.09,103.77,56.94,42.32,13.315276,,16.699037,114.333733,,43.74,133.21,32.62,,26.977893,,106.04,116.6,72.35,93.09,,33.04,106.11,20.61,,61.47,67.13,7.644,188.37,75.521538,22.55,29.265,47.49,37.8,,156.95,43.65,0.480125,79.34,10.01,,,116.46,41.506775,111.44,62.46,,67.69892,108.92,,,56.44,90.423243,83.05,132.71,93.65,,3.657,66.39,95.04,18.1,13.57332,53.45,42.56,128.445752,,,235.84,83.45,73.469322,34.1,,44.76,37.77,53.05,,38.19647,105.791576,,14.81,47.99,69.35,,26.365,,55.343639,14.945,20.891646,111.62,,30.365,79.21,29.39,54.942112,60.5,,71.4,303.95,62.41,62.47,45.71,65.22,91.05,125.21,119.05,49.31,108.750788,84.03,70.13,28.54,,69.79,26.8775,26.652824,53.1,17.7265,80.69,48.87,,,63.51,54.005,15.15,,,17.99,72.940807,43.96,25.98,14.1968,107.96,,46.95,23.9,,110.45,54.957933,,,22.306534,48.93,,71.35,,84.22,50.07,172.41
2015-02-28,3.11,56.57,53.14,,58.54,32.115,25.05,66.035201,,150.85,12.762,82.9,,,142.23,,58.157247,,71.01,115.54,57.92,59.745,14.790728,,21.48722,124.383998,,49.29,138.78,37.31,,25.495402,,113.8,141.33,77.26,98.86,,33.25,121.93,21.97,,64.955,77.68,8.246,200.05,82.033827,25.635,30.67,52.73,38.65,,165.71,47.03,0.5515,84.895,12.75,,,122.69,44.636067,117.69,72.51,,71.904298,117.04,,,61.12,95.066572,87.75,147.23,98.34,,4.018,72.13,100.83,19.32,13.555986,58.8,44.31,135.526423,,,236.91,94.89,80.836656,35.7,,47.37,42.21,57.35,,37.566291,112.411211,,16.9,53.23,76.67,,29.51,,58.635504,15.185,22.169978,118.115,,32.38,78.415,31.73,55.555444,64.98,,77.59,314.17,67.94,64.36,47.0,64.52,94.75,130.0,120.38,54.72,116.793108,90.03,79.1,31.125,,70.6,28.1315,27.843555,56.29,19.008,81.59,55.33,,,61.27,64.24,15.81,,,18.355,78.420583,43.99,29.34,13.2994,114.01,,52.42,24.84,,114.72,57.303808,,,24.373045,61.68,,85.12,,83.11,53.25,189.79
2015-03-31,2.68,52.84,52.54,,63.0,31.1075,22.56,66.789028,,150.08,12.698,80.03,,,138.64,,55.792212,,67.94,114.38,56.62,59.79,14.609691,,18.824911,118.736706,,48.69,135.73,37.5,,22.271845,,109.62,140.15,75.83,97.14,,31.27,117.4,23.38,,58.29,78.76,7.0235,202.96,83.838552,24.45,27.13,52.65,35.46,,160.96,47.53,0.523125,100.36,12.11,,,118.78,42.232019,112.77,69.34,,69.126272,115.99,,,52.03,94.833239,98.29,147.06,95.36,,3.321,71.62,106.73,18.85,12.584654,57.185,44.33,136.688828,,,235.81,95.01,68.76934,35.02,,46.33,41.55,53.785,,37.213173,110.013126,,17.75,55.01,79.29,,27.525,,57.036598,15.585,23.74331,114.94,,33.025,77.24,33.35,56.114332,66.97,,77.99,328.65,66.67,71.78,51.14,70.27,92.25,134.34,124.32,60.21,114.008855,93.69,73.94,32.005,,71.17,27.735,27.324979,50.02,18.605,78.12,54.79,,,61.41,58.64,15.39,,,18.44,78.530179,47.84,30.44,13.0108,111.49,,51.52,24.13,,116.21,62.085094,,,24.276243,61.29,,88.72,,83.85,54.92,187.97
2015-04-30,2.26,59.7,52.42,,61.84,31.2875,19.79,69.519555,,143.34,11.688,86.88,,,138.26,,61.119594,,68.73,111.98,58.83,59.67,14.301928,,23.116395,129.600565,,41.69,137.32,35.06,,23.133759,,108.83,131.59,75.01,93.58,,32.55,114.75,22.52,,58.8,80.24,7.558,186.6,98.849281,23.8275,28.13,51.83,36.25,,154.04,48.86,0.554875,96.12,11.52,,,119.36,41.735092,110.78,68.0,,67.091411,118.6,,,58.72,92.666574,92.25,149.55,98.7,,2.877,66.55,104.97,18.25,15.069985,54.21,43.98,132.570414,,,248.43,94.05,73.85469,37.02,,46.42,41.37,58.84,,37.343555,107.929167,,17.82,53.92,69.16,,28.83,,55.007734,16.8925,21.108312,122.02,,33.74,62.685,29.85,55.108779,65.88,,74.45,317.01,59.75,63.94,51.26,66.5,92.24,125.68,125.19,53.28,106.55831,92.65,76.06,31.52,,69.66,27.4385,26.867,50.05,21.089,77.45,56.29,,,61.46,56.83,15.93,,,18.65,80.552715,43.97,30.5,12.4268,106.99,,53.32,26.05,,115.94,57.097872,,,24.520352,64.71,,88.46,,82.98,56.11,196.42
2015-05-31,2.28,60.15,53.76,,67.96,32.57,20.13,72.853143,,140.52,14.807,85.32,,,135.55,,60.861297,,71.59,114.65,60.31,49.71,13.731661,,19.52029,130.509874,,41.78,140.16,35.97,,21.547838,,108.03,123.99,77.26,93.83,,34.46,119.04,24.57,,59.66,79.22,8.225,188.2,96.538469,24.565,27.93,54.6,33.4,,159.18,47.3,0.55325,112.25,13.26,,,120.43,42.997554,114.445,69.68,,69.108577,122.89,,,55.64,96.059904,109.36,155.4,102.44,,3.346,69.0,101.33,21.15,16.719983,55.92,45.22,141.263454,,,240.33,100.3,73.567553,36.57,,48.6,41.19,60.67,,36.186415,107.653349,,18.27,54.18,72.34,,29.31,,57.990567,17.93,21.786645,125.69,,35.77,67.8,28.27,54.194336,69.71,,76.32,324.68,59.0,58.82,52.73,66.83,96.13,129.63,133.62,54.14,110.681333,96.04,79.09,31.11,,67.32,27.266,26.6055,51.2,21.4615,79.72,58.61,,,65.85,54.15,16.5,,,19.79,83.25275,46.33,31.65,12.3104,106.48,,54.08,26.84,,117.89,58.682681,,,25.825074,71.91,,87.72,,87.48,57.07,206.19
2015-06-30,2.4,55.27,54.78,,64.185,31.35625,19.22,71.270108,,138.72,13.293,84.82,,,131.19,,56.647822,,67.49,113.07,55.43,46.98,13.586831,,18.497089,127.159786,,39.75,141.69,33.33,,19.220671,,108.28,112.59,78.58,91.79,,30.415,109.29,21.29,,56.21,76.91,8.135,185.9,98.849281,23.7125,18.84,50.71,31.56,,158.63,44.07,0.50275,98.2,11.69,,,116.33,46.167138,114.72,62.63,,65.428134,124.64,,,47.5,91.673242,104.1,159.25,105.24,,2.958,64.3,105.51,19.29,17.883982,51.51,44.63,140.407274,,,236.65,94.24,59.256034,37.07,,49.08,38.58,62.71,,37.990032,108.526773,,17.7,50.01,70.34,,27.46,,57.500146,19.995,23.73831,120.35,,38.06,64.14,30.985,53.833226,72.61,,74.1,341.46,57.34,56.37,52.64,64.44,95.57,129.76,128.38,58.08,105.966535,96.78,81.01,31.1,,64.87,27.002,26.0255,48.91,21.7045,77.72,61.82,,,67.0,50.075,17.02,,,19.66,87.646534,49.39,32.65,12.0998,101.68,,55.24,27.31,,116.02,63.643042,,,25.353691,71.23,,90.78,,85.78,58.22,208.79
2015-07-31,1.93,54.2,53.05,,58.33,30.325,17.36,65.398637,,144.17,12.514,78.63,,,129.53,,51.715959,,60.58,115.81,51.75,44.3,13.423898,,11.75,124.910441,,35.07,149.11,31.51,,17.014173,,104.41,117.41,76.03,89.47,,28.95,115.59,20.25,,53.05,82.94,7.687,207.1,89.596484,21.42,18.51,51.71,31.15,,173.01,44.14,0.49875,96.99,10.62,,,112.75,40.835253,108.38,64.39,,59.164303,116.78,,,50.6,92.586574,95.67,164.8,105.49,,2.667,60.92,103.67,19.26,17.743316,49.98,43.7,141.425941,,,228.71,101.19,65.029001,34.53,,50.69,40.95,62.7,,40.08,116.571468,,17.34,54.27,77.62,,28.42,,61.510847,21.1625,25.359975,134.14,,41.66,72.73,33.89,59.240993,76.72,19.7,78.39,337.6,60.16,57.95,52.92,69.13,102.27,139.53,133.49,59.87,100.960701,103.11,81.99,32.025,,68.95,32.875,31.2805,54.38,26.8075,76.06,64.12,,,74.6,50.58,17.88,,,20.97,81.00106,53.29,34.88,14.8446,108.77,,58.46,26.07,,120.02,66.042639,,,28.12,74.11,,90.69,,88.57,61.61,205.07
2015-08-31,1.81,45.21,53.82,,55.86,28.19,16.085,63.254419,,130.68,12.597,76.44,,,121.75,,50.004739,,57.06,109.14,47.72,47.84,12.55492,,10.64,118.784565,,30.92,142.03,29.44,,16.290165,,98.67,112.58,71.83,84.53,,28.54,109.55,19.35,,50.11,76.82,7.277,201.18,81.52774,21.25,16.41,48.09,31.96,,163.74,43.29,0.562,84.65,9.555,,,107.66,37.128451,95.29,56.58,,54.032916,111.83,,,51.4,85.269915,87.35,159.77,101.52,,2.735,59.29,97.91,18.04,16.603983,47.84,38.8,143.63201,,,223.44,95.76,61.930943,32.45,,45.29,36.31,56.6,,38.45,108.044091,,16.74,52.79,68.89,,25.88,,58.460833,23.535,23.479977,121.41,,38.81,71.47,29.71,56.772109,74.51,19.74,72.29,296.55,64.82,51.94,48.68,64.05,98.65,125.37,121.38,55.85,100.465938,94.27,78.57,29.3,,58.28,32.391,30.9125,53.58,25.6445,76.72,60.34,,,74.35,46.75,16.34,,,20.02,77.464113,49.23,30.38,14.2002,102.16,,53.48,24.82,,128.0,60.89425,,,27.11,70.61,,85.57,,85.51,58.46,188.6
2015-09-30,1.72,44.1,52.32,,56.41,27.575,14.69,63.689963,,130.95,12.501,65.36,,,108.58,,46.154495,,51.3,109.72,44.17,42.75,12.283364,,9.69,120.698901,,30.09,137.95,30.02,,16.652169,,84.95,107.15,71.3,82.31,,30.14,103.26,22.37,,50.0,73.15,6.533,207.31,79.59888,21.545,14.98,51.2,29.6,,165.95,37.55,0.61625,87.07,9.4,,,97.3,34.274483,87.69,53.73,,52.487602,101.47,,,44.8,74.259926,84.21,150.94,96.98,,2.726,59.89,90.3,18.01,16.559983,49.52,37.64,132.7454,,,215.01,88.05,60.026771,32.85,,40.22,34.33,56.76,,32.85,101.638981,,16.41,55.35,63.52,,26.25,,57.244859,21.465,23.694976,115.8,,39.13,74.25,25.91,51.064342,69.57,16.95,66.94,284.74,68.38,50.96,45.96,64.97,94.1,122.28,118.21,54.12,91.123653,98.26,82.22,29.065,,58.24,31.9185,30.421,54.4,25.5945,74.13,56.82,,,79.01,44.14,15.58,,,20.68,72.253344,49.7,28.56,14.405,103.4,,49.61,23.86,,125.21,61.368797,,,24.44,74.52,,84.5,,83.93,56.4,173.76
2015-10-31,2.12,53.52,54.82,,60.12,29.875,16.77,69.678696,,148.07,12.313,72.99,,,103.51,,52.006543,,55.91,120.35,47.23,57.07,13.405794,,11.77,138.406512,,31.56,148.58,34.91,,15.393775,,96.85,119.94,76.76,91.94,,33.86,116.06,22.98,,67.12,79.13,7.659,219.83,88.717994,24.145,16.56,62.42,34.0,,187.75,42.3,0.70925,78.35,11.0,,,104.7,37.55151,104.26,59.42,,58.043655,109.16,,,38.06,88.943244,77.24,165.89,105.98,,2.821,64.44,89.23,19.52,13.79532,56.72,42.17,137.39502,,,210.0,82.87,50.490796,36.41,,44.8,37.76,65.46,,37.39,109.193333,,18.28,59.58,65.24,,28.85,,62.686513,20.83,26.19164,110.2,,38.86,68.62,29.9,55.177667,63.65,14.34,73.92,310.99,69.97,57.61,51.64,74.95,95.62,130.78,127.8,60.01,101.445762,107.2,88.66,31.875,,61.88,36.8695,35.5405,60.47,31.295,73.26,63.06,,,81.53,55.19,16.78,,,22.22,78.609885,54.08,30.52,12.8046,113.54,,53.17,24.3,,134.8,55.414573,,,27.9,77.35,,92.37,,90.67,58.01,187.5
