Date,TRDPRC_1
2016-04-05,1469.6376
2016-04-06,1472.2355
2016-04-07,1440.7329
2016-04-08,1432.3796
2016-04-11,1468.9185
2016-04-12,1457.9065
2016-04-13,1499.2586
2016-04-14,1500.0443
2016-04-15,1499.4993
2016-04-18,1475.9564
2016-04-19,1509.0198
2016-04-20,1504.463
2016-04-21,1541.2108
2016-04-22,1497.9653
2016-04-25,1484.1312
2016-04-26,1489.2996
2016-04-27,1475.1875
2016-04-28,1459.1483
2016-04-29,1478.3621
2016-05-03,1524.2254
2016-05-04,1528.0964
2016-05-05,1537.2874
2016-05-06,1491.5661
2016-05-09,1396.6387
2016-05-10,1381.0673
2016-05-11,1378.0795
2016-05-12,1420.3327
2016-05-13,1416.8491
2016-05-16,1470.2621
2016-05-17,1470.8922
2016-05-18,1453.6323
2016-05-19,1510.6132
2016-05-20,1516.68
2016-05-23,1525.3708
2016-05-24,1513.241
2016-05-25,1483.3436
2016-05-26,1543.3337
2016-05-27,1532.7892
2016-05-30,1532.6159
2016-05-31,1637.5353
2016-06-01,1654.7877
2016-06-02,1658.238
2016-06-03,1652.1542
2016-06-06,1655.0511
2016-06-07,1652.8788
2016-06-08,1609.9155
2016-06-13,1554.8408
2016-06-14,1578.9492
2016-06-15,1646.4551
2016-06-16,1648.3768
2016-06-17,1646.9571
2016-06-20,1651.5431
2016-06-21,1619.0816
2016-06-22,1643.359
2016-06-23,1589.8228
2016-06-24,1558.3643
2016-06-27,1602.3637
2016-06-28,1605.9655
2016-06-29,1637.3176
2016-06-30,1613.2215
2016-07-01,1615.8594
2016-07-04,1657.2136
2016-07-05,1671.8017
2016-07-06,1668.3503
2016-07-07,1714.5442
2016-07-08,1701.5782
2016-07-11,1720.9064
2016-07-12,1742.6673
2016-07-13,1735.6031
2016-07-14,1713.5058
2016-07-15,1704.3378
2016-07-18,1702.8926
2016-07-19,1704.136
2016-07-20,1701.9927
2016-07-21,1686.4787
2016-07-22,1677.211
2016-07-25,1670.6895
2016-07-26,1685.2788
2016-07-27,1588.7301
2016-07-28,1580.5805
2016-07-29,1554.5805
2016-08-01,1537.8021
2016-08-02,1545.9245
2016-08-03,1549.6888
2016-08-04,1572.5769
2016-08-05,1562.6046
2016-08-08,1580.3593
2016-08-09,1599.1926
2016-08-10,1603.9038
2016-08-11,1578.0485
2016-08-12,1588.1569
2016-08-15,1614.9944
2016-08-16,1627.9278
2016-08-17,1622.9013
2016-08-18,1620.6856
2016-08-19,1646.4455
2016-08-22,1603.9707
2016-08-23,1604.8866
2016-08-24,1602.8003
2016-08-25,1584.8465
2016-08-26,1593.547
2016-08-29,1594.6936
2016-08-30,1594.6637
2016-08-31,1606.4113
2016-09-01,1589.9393
2016-09-02,1584.7906
2016-09-05,1592.9705
2016-09-06,1612.7384
2016-09-07,1613.1955
2016-09-08,1608.3012
2016-09-09,1596.0371
2016-09-12,1525.8837
2016-09-13,1534.7573
2016-09-14,1534.3179
2016-09-19,1550.2701
2016-09-20,1542.3069
2016-09-21,1555.7014
2016-09-22,1554.3607
2016-09-23,1539.616
2016-09-26,1501.292
2016-09-27,1508.1609
2016-09-28,1501.7222
2016-09-29,1504.3975
2016-09-30,1510.6375
2016-10-10,1542.5825
2016-10-11,1562.6632
2016-10-12,1560.7722
2016-10-13,1571.8837
2016-10-14,1559.3265
2016-10-17,1555.0149
2016-10-18,1588.783
2016-10-19,1591.7961
2016-10-20,1587.6409
2016-10-21,1584.9449
2016-10-24,1600.3155
2016-10-25,1618.0377
2016-10-26,1599.647
2016-10-27,1599.6675
2016-10-28,1582.5642
2016-10-31,1584.871
2016-11-01,1598.1754
2016-11-02,1591.8226
2016-11-03,1596.429
2016-11-04,1616.3697
2016-11-07,1630.2796
2016-11-08,1627.3989
2016-11-09,1627.073
2016-11-10,1648.3209
2016-11-11,1683.794
2016-11-14,1673.4214
2016-11-15,1662.9065
2016-11-16,1660.3804
2016-11-17,1667.1739
2016-11-18,1645.8554
2016-11-21,1643.0414
2016-11-22,1661.0877
2016-11-23,1640.4527
2016-11-24,1647.5164
2016-11-25,1643.2434
2016-11-28,1664.0396
2016-11-29,1641.9716
2016-11-30,1615.4605
2016-12-01,1627.716
2016-12-02,1592.9375
2016-12-05,1578.5674
2016-12-06,1586.7995
2016-12-07,1606.7644
2016-12-08,1604.4954
2016-12-09,1603.6302
2016-12-12,1525.7354
2016-12-13,1530.6604
2016-12-14,1501.6008
2016-12-15,1510.8481
2016-12-16,1509.7403
2016-12-19,1522.1491
2016-12-20,1516.6145
2016-12-21,1535.0574
2016-12-22,1539.6499
2016-12-23,1516.3953
2016-12-26,1511.7581
2016-12-27,1507.3338
2016-12-28,1503.2899
2016-12-29,1505.803
2016-12-30,1506.7454
2017-01-03,1522.2355
2017-01-04,1553.4456
2017-01-05,1549.0843
2017-01-06,1535.2858
2017-01-09,1544.1285
2017-01-10,1545.3176
2017-01-11,1528.3047
2017-01-12,1502.1597
2017-01-13,1479.1763
