Date,AMZN.O,NVDA.O,GOOGL.O,GOOG.O,AVGO.O,MU.O,AMAT.O,APP.O,RTX.N,AMD.O,CAT.N,FCX.N,TSLA.O,BA.N,LMT.N,REMX.O
2018-01-02,59.4505,4.98375,53.6605,53.25,26.701,43.67,53.04,,75.59064,10.98,157.04,19.77,21.368645,296.84,318.54,
2018-01-03,60.21,5.31175,54.576,54.124,26.993,44.98,53.98,,76.699491,11.55,157.28,19.47,21.149979,297.8,321.21,
2018-01-04,60.4795,5.33975,54.788,54.32,27.002,46.88,54.29,,76.941315,12.12,159.44,19.74,20.974646,296.67,326.72,
2018-01-05,61.457,5.385,55.5145,55.1115,27.162,45.8,54.6,,77.601907,11.88,161.96,19.9,21.105312,308.84,329.68,
2018-01-08,62.3435,5.55,55.7105,55.347,27.227,45.55,55.92,,78.339176,12.28,166.03,19.81,22.427311,310.15,328.16,
2018-01-09,62.635,5.5485,55.6395,55.313,26.85,42.97,54.86,,79.194407,11.82,166.43,18.92,22.245978,318.43,330.51,
2018-01-10,62.7165,5.592,55.507,55.1305,26.283,43.31,53.3,,79.56599,11.96,165.87,19.51,22.319978,320.26,331.05,
2018-01-11,63.834,5.602,55.6025,55.276,26.35,42.82,53.2,,79.619073,12.14,169.2,19.88,22.529977,328.12,331.13,
2018-01-12,65.26,5.5745,56.5325,56.113,26.429,42.81,53.45,,80.556879,12.02,170.3,19.75,22.414644,336.21,336.25,
2018-01-16,65.243,5.50275,56.535,56.088,26.325,42.92,54.5,,79.017463,11.91,169.31,19.32,22.670644,335.16,330.11,
2018-01-17,64.75,5.618,56.955,56.599,26.581,44.26,57.34,,79.282879,12.18,168.5,19.77,23.143977,351.01,334.86,
2018-01-18,64.666,5.611,56.7985,56.4895,26.98,43.99,57.4,,79.394944,12.47,168.83,19.4,22.97131,340.16,333.0,
2018-01-19,64.729,5.75275,57.175,56.8755,26.639,42.75,57.4,,80.155805,12.59,170.41,19.96,23.334643,337.73,332.0,
2018-01-22,66.3655,5.84225,58.208,57.7905,26.211,42.88,57.46,,79.748833,12.65,170.89,19.99,23.43731,338.0,329.0,
2018-01-23,68.127,5.97275,58.8085,58.4985,26.29,43.95,57.79,,80.232481,12.94,169.43,19.55,23.51931,335.59,328.7,
2018-01-24,67.8755,5.895,58.5645,58.212,25.686,43.08,56.88,,80.026045,12.71,168.34,19.6,23.05931,334.69,330.49,
2018-01-25,68.8975,5.90875,59.107,58.5185,24.729,43.01,55.76,,81.246962,12.41,169.37,19.82,22.509311,343.11,334.72,
2018-01-26,70.1025,6.08325,59.378,58.792,25.079,43.67,57.12,,81.382619,12.95,167.06,19.54,22.856644,343.22,344.9,
2018-01-29,70.884,6.17125,59.324,58.779,24.547,43.29,55.33,,80.609962,13.32,162.58,19.63,23.301977,340.82,351.42,
2018-01-30,71.891,6.068,58.8685,58.1845,24.098,41.67,53.38,,80.509693,12.87,163.76,19.13,23.054644,337.71,350.39,
2018-01-31,72.5445,6.145,59.111,58.497,24.803,43.72,53.63,,81.400314,13.74,162.78,19.5,23.620643,354.37,354.85,
2018-02-01,69.5,6.0125,59.0795,58.385,23.879,42.49,53.28,,81.583156,13.25,162.24,19.45,23.28331,356.94,357.38,
2018-02-02,71.4975,5.838,55.96,55.595,23.548,40.82,50.68,,79.394944,12.45,157.49,17.97,22.916644,348.91,352.66,
2018-02-05,69.5,5.3425,53.1195,52.79,22.81,39.4,48.31,,75.04801,11.57,151.08,17.65,22.208644,328.88,336.46,
2018-02-06,72.142,5.6395,54.2215,54.03,24.038,43.88,50.25,,76.563834,11.65,156.41,18.74,22.264644,340.91,337.59,
2018-02-07,70.839,5.72,52.7705,52.429,23.738,42.01,48.69,,77.837833,11.6,154.34,17.86,22.999977,348.12,345.43,
2018-02-08,67.525,5.438,50.3855,50.076,22.957,40.0,45.75,,75.189566,11.22,145.99,17.16,21.015312,329.66,334.3,
2018-02-09,66.98,5.802,52.3135,51.889,23.55,40.41,48.08,,73.74452,11.31,149.21,17.57,20.694646,332.83,341.42,
2018-02-12,69.3115,5.70075,52.728,52.597,24.44,42.19,49.5,,75.130584,11.68,152.29,17.57,21.048646,343.8,345.81,
2018-02-13,70.7255,5.81575,52.707,52.605,24.586,42.63,49.55,,74.180983,11.78,153.97,17.8,21.577312,343.16,350.23,
2018-02-14,72.5525,6.0355,53.635,53.485,24.766,43.45,51.96,,74.72951,12.2,158.06,19.12,21.487312,344.85,354.66,
2018-02-15,73.088,6.1625,54.568,54.476,25.183,43.5,53.99,,76.675899,12.19,159.98,19.12,22.270978,356.46,361.0,
