Date,NVDA.O,AAPL.O,GOOG.O,GOOGL.O,AVGO.O,TSLA.O,MU.O,AMD.O,AMAT.O,LRCX.O,INTC.O,KLAC.O,TXN.O,ADI.O,QCOM.O,RTX.N,BA.N,LMT.N,NOC.N,GD.N,CAT.N,GE.N,ETN.N,PH.N,HWM.N,FCX.N,WDC.O,STX.O,VRT.N,HON.O,SPY.N,.MVREMXTR
2016-04-01,,,,,,,,,,,,,,,,,126.96,223.11,,,,,63.66,,,,,,,,,
2016-04-04,0.895,27.78,37.2645,38.256,15.601,16.465984,10.8,2.83,21.17,8.276,32.0,72.83,57.72,58.76,50.65,59.14071,126.34,224.13,201.18,131.69,75.72,149.461803,62.65,109.78,16.203974,9.42,34.962722,33.55,,100.950363,,272.45
2016-04-05,0.89375,27.4525,36.89,37.9285,15.503,17.031316,10.4,2.76,20.95,8.169,31.9,72.37,57.71,58.48,50.07,58.898886,127.03,225.62,202.27,130.84,75.24,148.265343,60.39,108.85,16.221212,9.34,33.345687,32.86,,100.259721,,269.27
2016-04-06,0.895,27.74,37.2845,38.4035,15.754,17.694649,10.47,2.8,21.06,8.262,32.08,72.74,58.36,59.16,50.62,59.199692,127.93,226.63,202.1,131.72,75.22,147.882476,59.55,109.49,16.376357,9.61,33.791505,33.72,,101.407801,,268.75
2016-04-07,0.88575,27.135,37.014,38.006,15.497,17.14665,10.51,2.64,20.8,8.122,31.55,72.11,57.15,58.36,50.03,59.506395,127.0,226.48,200.55,131.39,74.17,146.590299,59.48,109.03,16.34188,8.85,32.680738,33.11,,100.161057,,264.0
2016-04-08,0.8915,27.165,36.9575,37.9735,15.615,16.671317,10.72,2.74,20.79,8.112,31.63,72.07,57.89,58.8,50.56,59.760016,127.88,226.3,200.57,132.91,74.35,147.356034,59.91,109.91,16.152259,9.33,32.567394,33.23,,100.564679,,267.68
2016-04-11,0.897,27.255,36.805,37.877,15.561,16.661317,10.45,2.76,20.94,8.138,31.67,72.17,57.82,58.6,51.0,60.243664,127.91,224.65,199.51,131.9,74.63,146.973166,60.62,110.49,16.790075,9.76,33.42125,34.98,,100.403231,,274.03
2016-04-12,0.896,27.61,37.1545,38.216,15.543,16.521317,10.17,2.81,20.93,8.14,31.86,72.15,58.44,58.8,50.82,60.798089,129.47,225.98,200.2,133.55,76.1,147.45175,61.54,111.53,16.34188,10.43,33.224787,35.04,,101.380893,,277.74
2016-04-13,0.9185,28.01,37.586,38.5955,15.948,16.96865,10.88,2.8,21.31,8.281,32.13,72.9,59.17,59.8,51.92,61.700506,131.14,226.38,201.13,134.32,79.13,148.265343,63.04,112.21,16.876267,10.82,33.851955,33.93,,102.914657,,282.57
2016-04-14,0.921,28.025,37.66,38.7695,15.882,16.79065,10.4,2.72,21.48,8.161,31.8,72.49,59.22,59.44,51.82,61.741793,130.85,225.44,200.13,133.57,79.05,148.456777,62.58,112.27,17.255508,10.73,31.600196,27.11,,102.71733,,286.08
2016-04-15,0.92825,27.4625,37.95,39.0,15.549,16.967316,10.69,2.7,21.47,8.164,31.46,72.53,58.93,58.66,51.06,61.676913,131.13,225.81,201.88,134.81,79.17,148.504635,62.83,113.72,17.255508,10.86,30.595216,25.59,,102.815994,,285.14
2016-04-18,0.92425,26.87,38.3305,39.384,15.59,16.925316,10.89,2.76,21.56,8.206,31.65,72.75,58.95,58.7,51.55,62.007209,131.97,227.14,202.79,136.29,79.25,148.648211,62.68,113.38,17.393415,11.02,31.003253,25.78,,103.560452,,280.86
2016-04-19,0.90775,26.7275,37.6965,38.8125,15.107,16.491317,10.72,2.62,21.2,8.277,31.6,73.12,58.42,58.23,51.83,61.930533,132.68,226.51,201.59,136.69,80.39,149.078936,62.77,114.05,18.151899,12.01,31.222384,25.33,,103.865411,,293.09
2016-04-20,0.91125,26.7825,37.6335,38.746,15.323,16.66465,10.75,2.7,21.14,8.267,32.0,72.97,59.05,59.18,52.09,62.243135,130.57,226.58,201.58,136.71,79.74,149.078936,62.16,113.49,18.255328,12.36,32.703407,25.67,,103.30931,,298.21
2016-04-21,0.91025,26.4925,37.957,39.0,15.135,16.55265,10.65,2.62,20.945,8.082,31.97,71.99,58.86,58.81,51.67,62.184154,130.74,226.07,200.0,137.72,78.66,148.265343,62.15,112.85,17.962278,11.52,32.7563,25.43,,103.076106,,306.82
2016-04-22,0.90675,26.42,35.9385,36.8885,15.033,16.91665,10.66,3.99,21.1,8.065,31.64,71.9,58.68,58.48,52.64,62.343404,131.05,226.83,200.75,137.9,78.32,147.212458,62.99,114.01,17.927801,11.67,32.990544,25.32,,102.403402,,302.54
2016-04-25,0.91125,26.27,36.1575,37.1105,14.91,16.787983,10.55,3.45,20.94,8.022,31.39,71.59,59.02,58.43,52.43,62.048496,130.75,226.3,200.73,136.79,76.79,146.829591,62.26,113.41,17.514083,11.35,32.748744,26.29,,101.578219,,300.45
2016-04-26,0.912,26.0875,35.407,36.2685,15.076,16.915983,11.51,3.66,21.27,8.025,31.4,71.84,59.4,59.33,52.91,61.812571,133.24,232.16,203.57,138.71,77.65,147.882476,63.25,114.36,18.375996,11.48,33.655493,27.0,,102.968473,,298.46
2016-04-27,0.93275,24.455,35.292,36.073,15.153,16.76465,11.56,3.73,21.42,8.097,31.75,72.23,59.92,59.64,52.9,62.455468,137.08,233.65,207.0,143.61,78.68,148.026051,63.83,116.92,19.496484,12.65,34.819154,27.34,,103.542513,,293.9
2016-04-28,0.905,23.7075,34.551,35.253,14.799,16.513983,11.62,3.61,20.81,7.816,31.11,70.82,58.69,57.86,52.13,61.476376,134.8,232.72,205.61,141.16,77.75,147.882476,63.19,115.44,19.220671,12.66,34.804041,26.9,,102.807024,,295.82
2016-04-29,0.88825,23.435,34.6505,35.394,14.575,16.050651,10.75,3.55,20.47,7.64,30.28,69.94,57.04,56.32,50.52,61.55895,134.8,232.38,206.26,140.52,77.72,147.1646,63.27,116.02,19.255148,14.0,30.878575,21.77,,102.493096,,297.58
2016-05-02,0.9,23.41,34.9105,35.7205,14.608,16.119984,10.62,3.74,20.31,7.659,30.61,70.07,57.85,57.01,51.11,61.55895,134.01,233.24,208.31,141.83,77.84,147.834618,63.46,115.5,18.893144,13.55,30.86724,20.48,,102.851871,,296.78
2016-05-03,0.88925,23.795,34.618,35.422,14.32,15.487985,10.36,3.6,20.1,7.573,30.36,69.63,57.2,56.23,50.73,60.237766,132.49,234.7,209.6,142.34,76.36,146.590299,63.29,113.68,17.84161,12.01,29.741361,19.44,,102.708361,,294.87
2016-05-04,0.869,23.5475,34.785,35.5685,14.207,14.837318,10.0,3.6,19.85,7.49,29.85,69.1,56.43,55.83,50.49,59.376636,130.89,236.01,210.55,141.43,74.24,143.910228,60.97,111.1,17.651989,11.8,29.92271,20.15,,101.291199,,291.15
2016-05-05,0.87425,23.31,35.0715,35.7355,14.258,14.101986,10.06,3.66,19.85,7.505,29.9,69.39,56.64,55.69,51.13,59.152507,132.08,238.14,211.93,142.2,72.79,143.048777,60.98,111.95,17.272747,11.29,28.811943,20.01,,101.910086,,291.37
2016-05-06,0.88325,23.18,35.556,36.259,14.189,14.328652,9.99,3.68,19.87,7.494,30.04,69.36,57.2,55.47,50.92,59.642053,133.26,240.26,214.1,143.44,73.36,144.14952,61.3,112.59,17.307223,11.79,28.162106,19.07,,102.053596,,288.0
2016-05-09,0.882,23.1975,35.645,36.4565,14.24,13.927986,9.87,3.65,19.89,7.464,29.8,69.14,56.91,55.23,51.2,59.034544,132.1,240.32,214.63,142.97,70.78,142.95306,60.66,111.05,16.307404,10.52,27.927863,18.86,,101.497495,,278.37
2016-05-10,0.899,23.355,36.159,36.969,14.461,13.912653,10.09,3.64,19.98,7.595,30.14,69.85,57.63,56.1,52.15,60.25546,134.72,244.36,217.43,145.71,72.51,145.872423,62.1,113.32,16.669407,10.86,28.993293,19.25,,103.094044,,278.56
2016-05-11,0.9015,23.1275,35.7645,36.5275,14.385,13.930653,10.1,3.65,20.01,7.561,30.06,69.7,57.63,55.75,52.15,59.925164,133.0,241.83,214.32,144.96,72.43,145.202405,62.0,112.86,16.44531,11.61,27.761626,18.72,,102.349586,,286.03
2016-05-12,0.88925,22.585,35.6655,36.4035,14.104,13.818653,9.63,3.59,19.63,7.49,29.76,68.82,57.16,54.9,51.51,59.84259,134.42,244.94,217.98,145.31,71.7,144.005945,62.07,112.54,16.272927,11.03,27.474489,18.79,,102.421341,,286.69
2016-05-13,1.0245,22.63,35.5415,36.2415,14.005,13.840653,9.56,3.67,19.61,7.434,29.91,68.6,57.12,54.72,51.32,59.14071,132.12,242.12,213.98,144.37,70.07,141.852317,60.87,109.77,15.859209,10.41,26.779315,19.09,,101.533372,,282.84
2016-05-16,1.05475,23.47,35.8245,36.515,14.265,13.885986,9.68,3.79,19.85,7.346,30.39,67.9,58.02,55.43,51.91,60.054923,134.14,242.97,215.73,145.37,70.7,143.383786,61.95,112.25,15.997115,11.04,26.877546,19.16,,103.004351,,284.97
2016-05-17,1.057,23.3725,35.3115,36.0095,14.117,13.643986,9.67,3.79,19.64,7.314,29.98,67.77,57.43,55.37,51.99,59.016849,132.56,241.53,213.6,145.0,71.05,142.187326,61.32,111.91,16.031591,11.51,27.769182,19.635,,101.919056,,284.89
