ticker,delta_RE,p_value,significant,r2,epsilon,n_obs
AMD.O,0.180842,0.5683,False,0.0025,0.166933,134
ALB.N,0.357415,0.1392,False,0.0165,0.126847,134
AME.N,0.113291,0.3425,False,0.0068,0.062795,134
ADI.O,0.053289,0.7239,False,0.0009,0.079473,134
AAPL.O,0.001205,0.9935,False,0.0,0.077881,134
AMAT.O,0.338798,0.0886,False,0.0218,0.104297,134
APTV.N,0.149525,0.468,False,0.004,0.108476,134
AXON.N,-0.315173,0.3202,False,0.0106,0.147335,95
BA.N,0.288084,0.165,False,0.0145,0.108966,134
AVGO.O,-0.167386,0.3533,False,0.0065,0.094882,134
CAT.N,0.17547,0.2824,False,0.0087,0.085853,134
CMI.N,0.039708,0.7752,False,0.0006,0.073284,134
DOV.N,0.046913,0.721,False,0.001,0.069227,134
DD.N,0.131845,0.5019,False,0.0045,0.094127,102
ETN.N,0.088646,0.5083,False,0.0033,0.07057,134
ECL.N,0.109023,0.3566,False,0.0064,0.06223,134
EMR.N,0.115948,0.4351,False,0.0046,0.07821,134
FSLR.O,-0.326296,0.2389,False,0.0105,0.145639,134
F.N,0.209379,0.2677,False,0.0093,0.099337,134
FTV.N,-0.077347,0.5647,False,0.0029,0.067855,117
FCX.N,0.665717,0.03,True,0.0352,0.160199,134
GE.N,0.127999,0.5081,False,0.0033,0.101859,134
GEV.N,0.076886,0.911,False,0.0006,0.114564,24
GNRC.N,0.62064,0.0119,True,0.047,0.128444,134
GD.N,0.300334,0.0048,True,0.0586,0.055319,134
GM.N,0.19384,0.2794,False,0.0089,0.094245,134
HWM.N,0.361698,0.1093,False,0.0193,0.118458,134
HUBB.N,-0.06691,0.6399,False,0.0017,0.075345,134
HII.N,0.247865,0.1141,False,0.0188,0.082281,134
IEX.N,0.025016,0.8317,False,0.0003,0.062036,134
ITW.N,0.019011,0.8702,False,0.0002,0.06131,134
IR.N,0.096903,0.5928,False,0.0028,0.089579,106
INTC.O,0.121471,0.5286,False,0.003,0.101512,134
IFF.N,0.152562,0.3267,False,0.0073,0.081841,134
JBL.N,0.03661,0.8373,False,0.0003,0.093943,134
KLAC.O,0.16295,0.3428,False,0.0068,0.090379,134
LHX.N,0.443907,0.0005,True,0.0879,0.065731,134
LRCX.O,0.122066,0.5531,False,0.0027,0.108398,134
LMT.N,0.285602,0.0224,True,0.0389,0.065264,134
LYB.N,0.28045,0.0991,False,0.0205,0.08917,134
MCHP.O,0.111624,0.5658,False,0.0025,0.102391,134
MU.O,0.463897,0.0612,False,0.0263,0.129725,134
MPWR.O,-0.044588,0.8108,False,0.0004,0.098147,134
NTAP.O,-0.08512,0.6336,False,0.0017,0.094076,134
NDSN.N,-0.048823,0.744,False,0.0012,0.069639,95
NOC.N,0.342227,0.0036,True,0.0624,0.060975,134
NUE.N,0.06941,0.7369,False,0.0009,0.108864,134
