ticker,delta_RE,p_value,significant,r2,epsilon,delta_market,n_obs
AMD.O,0.058229,0.8938,False,0.5624,0.122132,1.9599,19
ALB.N,-0.228098,0.5475,False,0.612,0.105617,1.9438,19
AME.N,0.014763,0.8803,False,0.8831,0.027451,1.0733,19
ADI.O,0.091791,0.6169,False,0.7382,0.051199,1.1984,19
AAPL.O,-0.519809,0.0502,False,0.4827,0.069856,0.9522,19
AMAT.O,0.549568,0.0314,True,0.8052,0.0663,1.6874,19
APTV.N,-0.1636,0.4731,False,0.746,0.063365,1.5876,19
AXON.N,0.137602,0.7811,False,0.2342,0.12764,0.8166,13
BA.N,0.039921,0.9132,False,0.396,0.102563,1.1737,19
AVGO.O,-0.360861,0.408,False,0.1374,0.120843,0.6846,19
CAT.N,0.34783,0.0651,False,0.7528,0.049984,1.0964,19
CMI.N,0.012424,0.9372,False,0.6282,0.044203,0.8168,19
DOV.N,-0.065311,0.5874,False,0.7846,0.03356,0.9306,19
DD.N,0.056524,0.8339,False,0.5799,0.070949,1.0216,14
ETN.N,0.00134,0.9922,False,0.8119,0.038545,1.1431,19
ECL.N,0.065777,0.5933,False,0.7137,0.034352,0.753,19
EMR.N,0.127056,0.3322,False,0.8439,0.036159,1.1576,19
FSLR.O,-1.041332,0.0754,False,0.235,0.155835,0.9272,19
F.N,-0.118282,0.7134,False,0.5066,0.090026,1.3301,19
FTV.N,-0.250963,0.0714,False,0.796,0.03698,1.0818,19
FCX.N,0.382335,0.398,False,0.5321,0.125283,1.7601,19
GE.N,0.238902,0.4313,False,0.5247,0.084198,1.1724,19
GNRC.N,0.565988,0.1601,False,0.4174,0.10934,1.0307,19
GD.N,0.117151,0.4587,False,0.5704,0.043902,0.6796,19
GM.N,0.005806,0.9834,False,0.5776,0.078194,1.304,19
HWM.N,0.325588,0.3369,False,0.5225,0.093583,1.2666,19
HUBB.N,-0.187437,0.2654,False,0.7463,0.046212,1.1684,19
HII.N,0.036607,0.8991,False,0.1181,0.080904,0.4108,19
IEX.N,-0.067663,0.636,False,0.7524,0.039903,1.0098,19
ITW.N,-0.086063,0.3992,False,0.8605,0.028273,1.0229,19
IR.N,0.209295,0.2751,False,0.7805,0.051049,1.1692,15
INTC.O,0.616189,0.0658,False,0.5352,0.088774,1.0344,19
IFF.N,0.435495,0.0289,True,0.5345,0.051644,0.5323,19
JBL.N,-0.300082,0.1606,False,0.618,0.058043,1.0935,19
KLAC.O,0.187495,0.3821,False,0.7297,0.05937,1.3271,19
LHX.N,0.457988,0.0824,False,0.4308,0.070333,0.6108,19
LRCX.O,0.244329,0.4447,False,0.647,0.088732,1.6284,19
LMT.N,0.270336,0.3458,False,0.1463,0.079202,0.3031,19
LYB.N,0.485527,0.0189,True,0.7846,0.052933,1.219,19
MCHP.O,0.278163,0.127,False,0.8615,0.049175,1.6497,19
MU.O,0.555628,0.1672,False,0.6032,0.109278,1.6829,19
MPWR.O,-0.426302,0.1139,False,0.5377,0.072535,1.1494,19
NTAP.O,-0.313444,0.1588,False,0.6271,0.060345,1.1592,19
NDSN.N,-0.125685,0.6417,False,0.5374,0.069382,0.9339,13
NOC.N,0.089456,0.6875,False,0.0941,0.062149,0.246,19
NUE.N,-0.11599,0.6926,False,0.721,0.081993,1.9108,19
NVDA.O,-0.255648,0.5094,False,0.5366,0.107789,1.7075,19
NXPI.O,0.103653,0.5738,False,0.7911,0.051367,1.3941,19
ON.O,-0.078823,0.7828,False,0.6861,0.08002,1.7095,19
OTIS.N,-0.256069,0.223,False,0.611,0.048376,0.8001,12
PCAR.N,0.003318,0.9881,False,0.4923,0.0576,0.6913,13
PH.N,0.067541,0.6802,False,0.8209,0.045784,1.3789,19
PNR.N,0.038886,0.7563,False,0.6759,0.035049,0.7108,19
PPG.N,-0.360414,0.0203,True,0.7965,0.039798,1.1645,19
QCOM.O,-0.379806,0.1303,False,0.5842,0.06777,1.1871,19
RTX.N,0.224721,0.3386,False,0.4781,0.064833,0.793,19
ROK.N,-0.390898,0.0492,True,0.6852,0.052278,1.137,19
STX.O,0.360408,0.3844,False,0.5793,0.114674,1.7848,19
SHW.N,-0.066489,0.6965,False,0.7027,0.047636,1.0623,19
SWKS.O,-0.2175,0.4073,False,0.369,0.072732,0.8239,19
SNA.N,0.006179,0.9695,False,0.6571,0.045251,0.8926,19
SWK.N,0.230708,0.1136,False,0.6756,0.039224,0.7087,19
STLD.N,-0.026329,0.923,False,0.7863,0.070322,1.6524,13
SMCI.O,-0.490285,0.1525,False,0.5631,0.092877,1.5586,19
TEL.N,-0.127457,0.188,False,0.9076,0.026372,1.209,19
TDY.N,0.153182,0.4953,False,0.5918,0.062464,1.0196,19
TER.O,0.12583,0.6849,False,0.499,0.08664,1.1925,19
TSLA.O,-0.711776,0.3172,False,0.3774,0.196161,2.2574,19
TXN.O,0.110111,0.5932,False,0.6375,0.057491,1.0519,19
TXT.N,-0.054394,0.7928,False,0.6945,0.05795,1.2615,19
TDG.N,-0.11947,0.6025,False,0.5758,0.063996,1.0912,19
TRMB.N,-0.052089,0.8656,False,0.6657,0.079466,1.3799,13
VRT.N,-0.226367,0.5851,False,0.4988,0.106293,1.328,13
GWW.N,-0.289566,0.0935,False,0.7873,0.046212,1.3162,19
WAB.N,-0.057468,0.8019,False,0.5643,0.064104,1.0561,19
WDC.O,0.444262,0.2969,False,0.5535,0.117244,1.6837,19
XYL.N,-0.149211,0.358,False,0.6566,0.044868,0.9148,19
ZBRA.N,0.316638,0.3323,False,0.7466,0.08231,1.6167,13
ABT.N,0.240419,0.2747,False,0.1952,0.060492,0.2806,19
A.N,-0.100166,0.4469,False,0.7576,0.036556,0.9453,19
ALGN.O,0.128555,0.5453,False,0.7121,0.0592,1.2868,19
BAX.N,0.270706,0.1883,False,0.3111,0.056055,0.3862,19
BDX.N,-0.021432,0.9172,False,0.0201,0.057773,0.1222,19
TECH.N,0.144236,0.5407,False,0.6541,0.060317,0.9664,13
BSX.N,-0.059053,0.7863,False,0.1397,0.060962,0.3623,19
BR.N,-0.296127,0.1352,False,0.3065,0.053562,0.4932,19
CRL.N,-0.081213,0.766,False,0.4639,0.07636,1.0336,19
CSCO.O,0.060752,0.7427,False,0.4635,0.051757,0.6671,19
DHR.N,-0.279565,0.1591,False,0.2559,0.053863,0.429,19
DXCM.O,-0.102532,0.6876,False,0.0748,0.071243,0.2987,19
EW.N,-0.176218,0.5719,False,0.3088,0.086897,0.8593,19
FFIV.O,0.132647,0.6139,False,0.4354,0.073364,0.8726,19
HOLX.O,0.173442,0.4533,False,0.095,0.064207,0.1905,19
IDXX.O,0.011233,0.9666,False,0.4144,0.075241,0.9006,19
PODD.O,0.049512,0.8883,False,0.0185,0.098704,0.1731,19
ISRG.O,-0.270113,0.2858,False,0.4942,0.06961,1.0194,19
IQV.N,-0.205467,0.3487,False,0.452,0.06056,0.8148,19
LITE.O,-0.330415,0.3598,False,0.3893,0.099735,1.1793,19
MDT.N,0.11273,0.5848,False,0.4333,0.057534,0.6774,19
MTD.N,-0.143745,0.4281,False,0.6366,0.050306,0.9798,19
MSI.N,-0.024891,0.8718,False,0.5518,0.043209,0.691,19
RMD.N,0.085505,0.7656,False,0.1477,0.080246,0.445,19
RVTY.N,-0.002084,0.9923,False,0.2596,0.060841,0.5149,19
STE.N,0.019771,0.914,False,0.4265,0.051263,0.6253,19
SYK.N,0.116584,0.4707,False,0.658,0.044906,0.8488,19
TMO.N,-0.018002,0.9401,False,0.1311,0.067158,0.377,19
WAT.N,0.116052,0.6146,False,0.33,0.064303,0.6009,19
WST.N,-0.429551,0.1047,False,0.2703,0.071066,0.5578,19
ZBH.N,0.039536,0.8484,False,0.4828,0.05792,0.7868,19
ACN.N,-0.125004,0.3564,False,0.7439,0.037461,0.9378,19
ADBE.O,-0.040674,0.8749,False,0.4128,0.072345,0.8765,19
AFL.N,0.281246,0.143,False,0.5645,0.051954,0.7156,19
ABNB.O,0.251143,0.6451,False,0.4726,0.120116,1.5155,10
ALL.N,0.066571,0.7478,False,0.1661,0.057916,0.3441,19
GOOGL.O,-0.222551,0.3169,False,0.3588,0.061302,0.6771,19
GOOG.O,-0.247579,0.2694,False,0.3641,0.061574,0.6855,19
MO.N,0.246056,0.2197,False,0.5195,0.054812,0.7052,19
AMZN.O,-0.583009,0.0254,True,0.6012,0.067299,1.1844,19
AXP.N,0.101774,0.6291,False,0.6516,0.058809,1.1151,19
AIG.N,0.310505,0.2653,False,0.2716,0.076539,0.5007,19
ACGL.N,0.211582,0.3799,False,0.1834,0.061001,0.2275,13
AIZ.N,-0.118719,0.644,False,0.1041,0.071737,0.3611,19
ADSK.O,-0.401446,0.1062,False,0.6588,0.066725,1.3724,19
BAC.N,0.037995,0.878,False,0.6213,0.069295,1.2561,19
BKNG.N,0.132213,0.6586,False,0.6871,0.076922,1.3524,13
CDNS.O,-0.200431,0.4056,False,0.4628,0.066771,0.9175,19
COF.N,-0.040715,0.8656,False,0.5698,0.067385,1.118,19
CCL.N,0.447267,0.3029,False,0.6011,0.119575,1.9203,19
SCHW.N,0.061039,0.7874,False,0.5589,0.063329,0.9989,19
CMG.N,-0.360086,0.1569,False,0.4603,0.06899,0.9342,19
CB.N,0.1641,0.3254,False,0.3692,0.046026,0.4282,19
CINF.N,0.402447,0.2182,False,0.2135,0.081128,0.2138,13
C.N,0.133464,0.5044,False,0.7396,0.055608,1.2939,19
CFG.N,0.217959,0.3466,False,0.6544,0.063956,1.1757,19
CTSH.N,-0.158093,0.1758,False,0.7972,0.028742,0.7146,13
STZ.N,-0.11286,0.6113,False,0.5548,0.061954,1.0126,19
DRI.N,0.004344,0.982,False,0.5623,0.054076,0.8739,19
DDOG.O,-0.18607,0.4412,False,0.1343,0.057113,0.2727,12
EBAY.O,0.15705,0.4839,False,0.4734,0.062364,0.7849,19
EPAM.N,-0.67626,0.0185,True,0.552,0.073386,1.1288,19
EXPE.N,0.218992,0.5675,False,0.6926,0.09812,1.7302,13
FICO.N,-0.089028,0.7581,False,0.3182,0.080848,0.8085,19
FITB.N,0.248672,0.2958,False,0.6341,0.059708,0.8647,13
IT.N,-0.078983,0.7949,False,0.4581,0.08502,1.1355,19
GL.N,-0.106132,0.7223,False,0.2622,0.083487,0.7322,19
GS.N,-0.003755,0.9856,False,0.6604,0.058468,1.1652,19
