ticker,index_used,delta_RE,p_value,significant,r2,epsilon,delta_market,n_obs
AMD.O,SMM,0.085102,0.7554,False,0.2661,0.143185,1.5878,134
ALB.N,SMM,0.274721,0.1632,False,0.3523,0.102935,1.3714,134
AME.N,SMM,0.053339,0.3899,False,0.7342,0.032486,0.9942,134
ADI.O,SMM,-0.01033,0.922,False,0.5154,0.055352,1.0551,134
AAPL.O,SMM,-0.051088,0.6668,False,0.3622,0.062195,0.8672,134
AMAT.O,SMM,0.253623,0.063,False,0.546,0.071053,1.4126,134
APTV.N,SMM,0.056291,0.6696,False,0.5952,0.069157,1.5462,134
AXON.N,SMM,-0.336908,0.248,False,0.174,0.134621,0.9954,95
BA.N,SMM,0.217006,0.1994,False,0.3514,0.088399,1.1788,134
AVGO.O,SMM,-0.221189,0.1574,False,0.2632,0.081711,0.8923,134
CAT.N,SMM,0.109409,0.3569,False,0.4803,0.062163,1.0956,134
CMI.N,SMM,-0.016291,0.8729,False,0.4695,0.053393,0.9287,134
DOV.N,SMM,-0.017594,0.8085,False,0.698,0.038064,1.0698,134
DD.N,SMM,0.09743,0.4883,False,0.4953,0.067024,1.1264,102
ETN.N,SMM,0.028537,0.7427,False,0.5843,0.045574,0.9968,134
ECL.N,SMM,0.059685,0.4751,False,0.5083,0.043779,0.8182,134
EMR.N,SMM,0.04615,0.6063,False,0.6416,0.046929,1.1575,134
FSLR.O,SMM,-0.396168,0.1158,False,0.1935,0.131483,1.1588,134
F.N,SMM,0.134556,0.3365,False,0.4609,0.073277,1.2409,134
FTV.N,SMM,-0.104738,0.2101,False,0.6197,0.041903,0.9631,117
FCX.N,SMM,0.561795,0.0252,True,0.3614,0.130331,1.7235,134
GE.N,SMM,0.0626,0.6936,False,0.3334,0.083299,1.0846,134
GEV.N,SMM,-0.013131,0.984,False,0.1457,0.105919,1.0085,24
GNRC.N,SMM,0.546049,0.0099,True,0.3052,0.10967,1.237,134
GD.N,SMM,0.263964,0.0023,True,0.3856,0.044691,0.6032,134
GM.N,SMM,0.121764,0.3529,False,0.4746,0.068616,1.1953,134
HWM.N,SMM,0.282385,0.1198,False,0.3726,0.094751,1.3153,134
HUBB.N,SMM,-0.125476,0.2248,False,0.4863,0.054046,0.9713,134
HII.N,SMM,0.208012,0.1428,False,0.2038,0.074122,0.6609,134
IEX.N,SMM,-0.029067,0.6938,False,0.6108,0.038707,0.8969,134
ITW.N,SMM,-0.037977,0.5572,False,0.6943,0.033903,0.9451,134
