ticker,delta_RE,p_value,significant,r2,epsilon,delta_market,n_obs,market_cap_usd,Security,tier,GICS Sub-Industry,dollar_exposure_usd,exposure_billions,market_cap_billions,exposure_pct_mcap
AMD.O,0.058229,0.8938,False,0.5624,0.122132,1.9599,19,329312129970.21,Advanced Micro Devices,high,Semiconductors,3052982982.4227576,3.0529829824227575,329.31212997021004,0.9270788120373623
ALB.N,-0.228098,0.5475,False,0.612,0.105617,1.9438,19,21154801872.15,Albemarle Corporation,high,Specialty Chemicals,768259188.8412842,0.7682591888412842,21.154801872150003,3.6316066370382156
AME.N,0.014763,0.8803,False,0.8831,0.027451,1.0733,19,47929650363.96,Ametek,high,Electrical Components & Equipment,112656487.02618389,0.11265648702618389,47.92965036396,0.2350455014186673
ADI.O,0.091791,0.6169,False,0.7382,0.051199,1.1984,19,150093486028.08,Analog Devices,high,Semiconductors,2193508236.7571874,2.193508236757187,150.09348602807998,1.461428003842098
AAPL.O,-0.519809,0.0502,False,0.4827,0.069856,0.9522,19,3658032506400.0,Apple Inc.,high,"Technology Hardware, Storage & Peripherals",302739213878.9982,302.7392138789982,3658.0325064,8.276012128086164
AMAT.O,0.549568,0.0314,True,0.8052,0.0663,1.6874,19,267581438856.39,Applied Materials,high,Semiconductor Materials & Equipment,23412874943.48256,23.41287494348256,267.58143885639004,8.749812783557145
APTV.N,-0.1636,0.4731,False,0.746,0.063365,1.5876,19,14288994428.0,Aptiv,high,Automotive Parts & Equipment,372187934.37106323,0.37218793437106323,14.288994428,2.6047174715229953
AXON.N,0.137602,0.7811,False,0.2342,0.12764,0.8166,13,34566176389.5,Axon Enterprise,high,Aerospace & Defense,757274637.7051752,0.7572746377051751,34.5661763895,2.1907966596363515
BA.N,0.039921,0.9132,False,0.396,0.102563,1.1737,19,149719025552.8,Boeing,high,Aerospace & Defense,951602835.0793746,0.9516028350793746,149.7190255528,0.6355924583170506
AVGO.O,-0.360861,0.408,False,0.1374,0.120843,0.6846,19,1423620029565.12,Broadcom,high,Semiconductors,81792100559.37982,81.79210055937982,1423.6200295651201,5.745360339188627
CAT.N,0.34783,0.0651,False,0.7528,0.049984,1.0964,19,323560810672.8,Caterpillar Inc.,high,Construction Machinery & Heavy Transportation Equipment,17918443244.077248,17.91844324407725,323.56081067279996,5.537890453055276
CMI.N,0.012424,0.9372,False,0.6282,0.044203,0.8168,19,72293696860.12,Cummins,high,Construction Machinery & Heavy Transportation Equipment,143001041.40308905,0.14300104140308906,72.29369686012,0.19780568377873892
DOV.N,-0.065311,0.5874,False,0.7846,0.03356,0.9306,19,27848946570.0,Dover Corporation,high,Industrial Machinery & Supplies & Components,289582577.41187435,0.2895825774118744,27.84894657,1.0398331465931436
DD.N,0.056524,0.8339,False,0.5799,0.070949,1.0216,14,18507893767.82,DuPont,high,Specialty Chemicals,166558656.69967422,0.1665586566996742,18.50789376782,0.8999330706623824
ETN.N,0.00134,0.9922,False,0.8119,0.038545,1.1431,19,138650441102.4,Eaton Corporation,high,Electrical Components & Equipment,29580354.727437668,0.02958035472743767,138.65044110239998,0.021334482957462184
ECL.N,0.065777,0.5933,False,0.7137,0.034352,0.753,19,73817100242.16,Ecolab,high,Specialty Chemicals,773051392.1782997,0.7730513921782997,73.81710024216001,1.0472524518604402
EMR.N,0.127056,0.3322,False,0.8439,0.036159,1.1576,19,70474800000.0,Emerson Electric,high,Electrical Components & Equipment,1425628453.0736887,1.4256284530736887,70.4748,2.0228910945099368
FSLR.O,-1.041332,0.0754,False,0.235,0.155835,0.9272,19,20420209048.26,First Solar,high,Semiconductors,3385530432.3492737,3.385530432349274,20.42020904826,16.579313288850752
F.N,-0.118282,0.7134,False,0.5066,0.090026,1.3301,19,45606005307.57,Ford Motor Company,high,Automobile Manufacturers,858851377.5090529,0.8588513775090528,45.60600530757,1.8831979949063742
FTV.N,-0.250963,0.0714,False,0.796,0.03698,1.0818,19,16599767524.8,Fortive,high,Industrial Machinery & Supplies & Components,663267972.6892049,0.6632679726892049,16.5997675248,3.9956461540698367
FCX.N,0.382335,0.398,False,0.5321,0.125283,1.7601,19,80828218321.44,Freeport-McMoRan,high,Copper,4920218459.209856,4.920218459209856,80.82821832144,6.087253389209928
GE.N,0.238902,0.4313,False,0.5247,0.084198,1.1724,19,295488259741.62,GE Aerospace,high,Aerospace & Defense,11239250208.90893,11.23925020890893,295.48825974161997,3.8036198861967385
GNRC.N,0.565988,0.1601,False,0.4174,0.10934,1.0307,19,11406580768.8,Generac,high,Electrical Components & Equipment,1027874346.7491462,1.0278743467491462,11.4065807688,9.01123980606575
GD.N,0.117151,0.4587,False,0.5704,0.043902,0.6796,19,93918511107.12,General Dynamics,high,Aerospace & Defense,1751759667.6332767,1.7517596676332767,93.91851110712,1.865191054440039
GM.N,0.005806,0.9834,False,0.5776,0.078194,1.304,19,65971573911.94,General Motors,high,Automobile Manufacturers,60983339.16763436,0.06098333916763436,65.97157391194,0.0924388119783772
HWM.N,0.325588,0.3369,False,0.5225,0.093583,1.2666,19,91374240357.7,Howmet Aerospace,high,Aerospace & Defense,4736630348.346229,4.736630348346228,91.3742403577,5.183769878473281
HUBB.N,-0.187437,0.2654,False,0.7463,0.046212,1.1684,19,25503306311.98,Hubbell Incorporated,high,Industrial Machinery & Supplies & Components,761077942.6133032,0.7610779426133032,25.50330631198,2.9842324493267456
HII.N,0.036607,0.8991,False,0.1181,0.080904,0.4108,19,15033810116.09,Huntington Ingalls Industries,high,Aerospace & Defense,87621467.7227793,0.0876214677227793,15.03381011609,0.5828294161371776
IEX.N,-0.067663,0.636,False,0.7524,0.039903,1.0098,19,13842498014.8,IDEX Corporation,high,Industrial Machinery & Supplies & Components,149122454.38589418,0.1491224543858942,13.842498014799999,1.0772799405602713
ITW.N,-0.086063,0.3992,False,0.8605,0.028273,1.0229,19,74623744807.04,Illinois Tool Works,high,Industrial Machinery & Supplies & Components,1022517721.889663,1.022517721889663,74.62374480704,1.3702310498269163
