ticker,delta_RE,p_value,significant,r2,epsilon,n_obs,market_cap_usd,Security,tier,GICS Sub-Industry,dollar_exposure_usd,exposure_billions,exposure_pct_mcap
AMD.O,0.180842,0.5683,False,0.0025,0.166933,134,329312129970.21,Advanced Micro Devices,high,Semiconductors,9481659456.753445,9.481659456753444,2.879231766412967
ALB.N,0.357415,0.1392,False,0.0165,0.126847,134,21154801872.15,Albemarle Corporation,high,Specialty Chemicals,1203813089.021857,1.203813089021857,5.690495691224885
AME.N,0.113291,0.3425,False,0.0068,0.062795,134,47929650363.96,Ametek,high,Electrical Components & Equipment,864523882.1163312,0.8645238821163312,1.803735006517797
ADI.O,0.053289,0.7239,False,0.0009,0.079473,134,150093486028.08,Analog Devices,high,Semiconductors,1273434873.0110116,1.2734348730110117,0.8484278077016435
AAPL.O,0.001205,0.9935,False,0.0,0.077881,134,3658032506400.0,Apple Inc.,high,"Technology Hardware, Storage & Peripherals",701797684.7730472,0.7017976847730472,0.019185113405777558
AMAT.O,0.338798,0.0886,False,0.0218,0.104297,134,267581438856.39,Applied Materials,high,Semiconductor Materials & Equipment,14433582750.636873,14.433582750636873,5.394089669419606
APTV.N,0.149525,0.468,False,0.004,0.108476,134,14288994428.0,Aptiv,high,Automotive Parts & Equipment,340167487.08333266,0.34016748708333266,2.3806257941899496
AXON.N,-0.315173,0.3202,False,0.0106,0.147335,95,34566176389.5,Axon Enterprise,high,Aerospace & Defense,1734513447.4023137,1.7345134474023136,5.017949997874797
BA.N,0.288084,0.165,False,0.0145,0.108966,134,149719025552.8,Boeing,high,Aerospace & Defense,6867101303.599772,6.867101303599773,4.586659095759354
AVGO.O,-0.167386,0.3533,False,0.0065,0.094882,134,1423620029565.12,Broadcom,high,Semiconductors,37939407539.83487,37.93940753983487,2.664995346505795
CAT.N,0.17547,0.2824,False,0.0087,0.085853,134,323560810672.8,Caterpillar Inc.,high,Construction Machinery & Heavy Transportation Equipment,9039327361.17711,9.039327361177111,2.793702779511857
CMI.N,0.039708,0.7752,False,0.0006,0.073284,134,72293696860.12,Cummins,high,Construction Machinery & Heavy Transportation Equipment,457041641.3420686,0.4570416413420686,0.6322012308021704
DOV.N,0.046913,0.721,False,0.001,0.069227,134,27848946570.0,Dover Corporation,high,Industrial Machinery & Supplies & Components,208007647.32010326,0.20800764732010327,0.7469138798383756
DD.N,0.131845,0.5019,False,0.0045,0.094127,102,18507893767.82,DuPont,high,Specialty Chemicals,388506229.0808956,0.3885062290808956,2.099137989198956
ETN.N,0.088646,0.5083,False,0.0033,0.07057,134,138650441102.4,Eaton Corporation,high,Electrical Components & Equipment,1956850839.67794,1.9568508396779398,1.4113556539158154
ECL.N,0.109023,0.3566,False,0.0064,0.06223,134,73817100242.16,Ecolab,high,Specialty Chemicals,1281304740.7065504,1.2813047407065503,1.7357830861726862
EMR.N,0.115948,0.4351,False,0.0046,0.07821,134,70474800000.0,Emerson Electric,high,Electrical Components & Equipment,1300991435.8785737,1.3009914358785737,1.8460377835461381
FSLR.O,-0.326296,0.2389,False,0.0105,0.145639,134,20420209048.26,First Solar,high,Semiconductors,1060838462.6169544,1.0608384626169545,5.195042127677671
F.N,0.209379,0.2677,False,0.0093,0.099337,134,45606005307.57,Ford Motor Company,high,Automobile Manufacturers,1520311142.620754,1.520311142620754,3.3335766471272197
FTV.N,-0.077347,0.5647,False,0.0029,0.067855,117,16599767524.8,Fortive,high,Industrial Machinery & Supplies & Components,204419726.74693853,0.20441972674693853,1.2314613830677816
FCX.N,0.665717,0.03,True,0.0352,0.160199,134,80828218321.44,Freeport-McMoRan,high,Copper,8567023871.761173,8.567023871761172,10.599050739546904
GE.N,0.127999,0.5081,False,0.0033,0.101859,134,295488259741.62,GE Aerospace,high,Aerospace & Defense,6021769543.537242,6.021769543537242,2.037904838859852
GEV.N,0.076886,0.911,False,0.0006,0.114564,24,229951757506.24,GE Vernova,high,Heavy Electrical Equipment,2814889326.5573497,2.8148893265573496,1.224121684080177
GNRC.N,0.62064,0.0119,True,0.047,0.128444,134,11406580768.8,Generac,high,Electrical Components & Equipment,1127126254.5608566,1.1271262545608567,9.881368285611439
GD.N,0.300334,0.0048,True,0.0586,0.055319,134,93918511107.12,General Dynamics,high,Aerospace & Defense,4490896262.251047,4.490896262251047,4.781694481004811
GM.N,0.19384,0.2794,False,0.0089,0.094245,134,65971573911.94,General Motors,high,Automobile Manufacturers,2035999046.5474067,2.0359990465474067,3.0861762511003503
HWM.N,0.361698,0.1093,False,0.0193,0.118458,134,91374240357.7,Howmet Aerospace,high,Aerospace & Defense,5261955980.368239,5.261955980368239,5.758686430409072
HUBB.N,-0.06691,0.6399,False,0.0017,0.075345,134,25503306311.98,Hubbell Incorporated,high,Industrial Machinery & Supplies & Components,271684486.7355758,0.27168448673557577,1.0652912348386527
HII.N,0.247865,0.1141,False,0.0188,0.082281,134,15033810116.09,Huntington Ingalls Industries,high,Aerospace & Defense,593282571.5602669,0.5932825715602669,3.9463221031726587
IEX.N,0.025016,0.8317,False,0.0003,0.062036,134,13842498014.8,IDEX Corporation,high,Industrial Machinery & Supplies & Components,55132750.82271742,0.05513275082271742,0.39828613855512984
ITW.N,0.019011,0.8702,False,0.0002,0.06131,134,74623744807.04,Illinois Tool Works,high,Industrial Machinery & Supplies & Components,225870402.04088148,0.2258704020408815,0.30267899664501013
IR.N,0.096903,0.5928,False,0.0028,0.089579,106,31114049623.3,Ingersoll Rand,high,Industrial Machinery & Supplies & Components,480032991.4078847,0.4800329914078847,1.5428174641992223
INTC.O,0.121471,0.5286,False,0.003,0.101512,134,216556171133.64,Intel,high,Semiconductors,4188133288.7710114,4.188133288771011,1.9339708800939468
IFF.N,0.152562,0.3267,False,0.0073,0.081841,134,18138639669.21,International Flavors & Fragrances,high,Specialty Chemicals,440583684.6889063,0.4405836846889063,2.4289786484748848
JBL.N,0.03661,0.8373,False,0.0003,0.093943,134,27570924213.7,Jabil,high,Electronic Manufacturing Services,160704625.5305574,0.1607046255305574,0.5828771799049929
KLAC.O,0.16295,0.3428,False,0.0068,0.090379,134,189171075761.31,KLA Corporation,high,Semiconductor Materials & Equipment,4907795094.186138,4.907795094186138,2.5943686551630316
LHX.N,0.443907,0.0005,True,0.0879,0.065731,134,64064258209.0,L3Harris,high,Aerospace & Defense,4527777939.826055,4.527777939826055,7.067556959849377
LRCX.O,0.122066,0.5531,False,0.0027,0.108398,134,264002677110.0,Lam Research,high,Semiconductor Materials & Equipment,5130744260.410466,5.1307442604104665,1.9434440273772973
LMT.N,0.285602,0.0224,True,0.0389,0.065264,134,141927790749.12,Lockheed Martin,high,Aerospace & Defense,6453658947.1352215,6.453658947135222,4.547142538520235
LYB.N,0.28045,0.0991,False,0.0205,0.08917,134,25918574730.1,LyondellBasell,high,Specialty Chemicals,1157294486.3207119,1.1572944863207117,4.465116227925573
MCHP.O,0.111624,0.5658,False,0.0025,0.102391,134,33550398396.0,Microchip Technology,high,Semiconductors,596255758.8182691,0.5962557588182691,1.7771942728684764
MU.O,0.463897,0.0612,False,0.0263,0.129725,134,402849157698.22,Micron Technology,high,Semiconductors,29753725204.997524,29.753725204997526,7.385822866058085
MPWR.O,-0.044588,0.8108,False,0.0004,0.098147,134,51721745180.0,Monolithic Power Systems,high,Semiconductors,367171096.5787984,0.36717109657879843,0.709896959781585
NTAP.O,-0.08512,0.6336,False,0.0017,0.094076,134,20194793136.0,,,,273683331.38435346,0.27368333138435347,1.3552173054770005
NDSN.N,-0.048823,0.744,False,0.0012,0.069639,95,14515450035.58,Nordson Corporation,high,Industrial Machinery & Supplies & Components,112832001.16273348,0.11283200116273348,0.7773234786807284
NOC.N,0.342227,0.0036,True,0.0624,0.060975,134,96364780659.0,Northrop Grumman,high,Aerospace & Defense,5250612053.9384,5.250612053938401,5.4486836560323955
NUE.N,0.06941,0.7369,False,0.0009,0.108864,134,37205172160.28,Nucor,high,Steel,411152264.63499904,0.41115226463499904,1.1050943746846642
NVDA.O,-0.117327,0.6403,False,0.0017,0.132272,134,4070736000000.0,Nvidia,high,Semiconductors,76041071486.16632,76.04107148616632,1.8679931954851978
NXPI.O,0.087275,0.6402,False,0.0017,0.098361,134,48431110672.7,NXP Semiconductors,high,Semiconductors,672963655.6071961,0.6729636556071961,1.3895276120242626
ON.O,0.246296,0.2908,False,0.0084,0.122635,134,22991097925.5,ON Semiconductor,high,Semiconductors,901559499.3439051,0.9015594993439051,3.921341652605302
OTIS.N,-0.00329,0.9833,False,0.0,0.066636,72,29523342709.35,Otis Worldwide,high,Industrial Machinery & Supplies & Components,15464602.079738896,0.015464602079738897,0.052380932037351176
PCAR.N,-0.122171,0.425,False,0.0069,0.071216,95,59336149303.75,Paccar,high,Construction Machinery & Heavy Transportation Equipment,1154156791.0398428,1.154156791039843,1.94511575925083
PH.N,0.171834,0.2681,False,0.0093,0.081589,134,112135813024.76,Parker Hannifin,high,Industrial Machinery & Supplies & Components,3067826254.583471,3.067826254583471,2.7358130929198183
PNR.N,-0.069277,0.6277,False,0.0018,0.07525,134,13723309776.0,Pentair,high,Industrial Machinery & Supplies & Components,151364929.5598632,0.15136492955986322,1.1029768476448565
PPG.N,-0.108429,0.421,False,0.0049,0.070929,134,23234775843.0,PPG Industries,high,Specialty Chemicals,401107943.92449605,0.40110794392449606,1.7263258601452738
QCOM.O,-0.063258,0.7544,False,0.0007,0.106558,134,135626370000.0,Qualcomm,high,Semiconductors,1365956656.466878,1.365956656466878,1.007146808151599
RTX.N,0.294833,0.0312,True,0.0347,0.071485,134,255344769276.2,RTX Corporation,high,Aerospace & Defense,11986168567.590424,11.986168567590424,4.694111652087647
ROK.N,-0.078324,0.6223,False,0.0018,0.083771,134,39493804662.0,Rockwell Automation,high,Electrical Components & Equipment,492494240.91324264,0.4924942409132426,1.247016450119603
ROP.N,-0.731903,0.0038,True,0.2471,0.049168,32,35450294716.3,Roper Technologies,high,Electronic Equipment & Instruments,4130957254.958211,4.1309572549582105,11.652814985086152
STX.O,0.526146,0.0218,True,0.0392,0.119694,134,85145324656.32,,,,7132543066.5086775,7.132543066508678,8.376905126967833
SHW.N,-0.071423,0.6139,False,0.0019,0.07458,134,78010663688.76,Sherwin-Williams,high,Specialty Chemicals,887093474.5354565,0.8870934745354565,1.1371438628886728
SWKS.O,-0.180687,0.3227,False,0.0074,0.096112,134,8067544283.8,Skyworks Solutions,high,Semiconductors,232084207.36073107,0.23208420736073107,2.8767639717425144
SNA.N,0.015692,0.9032,False,0.0001,0.067985,134,18690668430.72,Snap-on,high,Industrial Machinery & Supplies & Components,46696083.45876071,0.04669608345876071,0.2498363481854452
SWK.N,0.141098,0.4072,False,0.0052,0.089616,134,10686812043.78,Stanley Black & Decker,high,Industrial Machinery & Supplies & Components,240074676.8179716,0.2400746768179716,2.246457370397014
STLD.N,0.125532,0.6015,False,0.0029,0.111904,95,24743158808.25,Steel Dynamics,high,Steel,494523477.45149255,0.49452347745149255,1.998627100459808
SMCI.O,-0.221989,0.5578,False,0.0026,0.199499,134,13192588485.44,,,,466271417.95860827,0.46627141795860827,3.5343436845105014
TEL.N,0.212398,0.1178,False,0.0184,0.071246,134,59314803944.22,TE Connectivity,high,Electronic Manufacturing Services,2005814867.3829405,2.0058148673829406,3.3816429188052632
