ticker,delta_RE,p_value,significant,r2,n_obs,market_cap_usd,Security,tier,GICS Sub-Industry,dollar_exposure_usd,exposure_billions
NVDA.O,0.02989,0.0862,False,0.6866,626,4070736000000.0,Nvidia,high,Semiconductors,1931564327136.1152,1931.5643271361153
AAPL.O,-0.025209,0.2702,False,0.5001,626,3658032506400.0,Apple Inc.,high,"Technology Hardware, Storage & Peripherals",1463907048343.485,1463.907048343485
GOOG.O,-0.050796,0.0138,True,0.6167,626,3315536940000.0,Alphabet Inc. (Class C),high,Interactive Media & Services,2673583230873.833,2673.583230873833
GOOGL.O,-0.051208,0.0121,True,0.6237,626,3315536940000.0,Alphabet Inc. (Class A),high,Interactive Media & Services,2695268329919.4277,2695.2683299194277
AVGO.O,-0.00308,0.878,False,0.5546,626,1423620029565.12,Broadcom,high,Semiconductors,69607354663.20134,69.60735466320133
TSLA.O,0.009046,0.7112,False,0.3157,626,1357742464770.72,"Tesla, Inc.",high,Automobile Manufacturers,194977414774.99432,194.97741477499432
MU.O,0.005505,0.8089,False,0.4387,626,402849157698.22,Micron Technology,high,Semiconductors,35205466736.65107,35.20546673665107
AMD.O,0.002385,0.9121,False,0.4721,626,329312129970.21,Advanced Micro Devices,high,Semiconductors,12468276777.53805,12.46827677753805
AMAT.O,-0.006224,0.7791,False,0.4919,626,267581438856.39,Applied Materials,high,Semiconductor Materials & Equipment,26438444005.338577,26.438444005338578
LRCX.O,-0.014123,0.5156,False,0.49,626,264002677110.0,Lam Research,high,Semiconductor Materials & Equipment,59189628351.46455,59.18962835146455
INTC.O,0.03119,0.2485,False,0.2399,626,216556171133.64,Intel,high,Semiconductors,107225051145.99724,107.22505114599724
KLAC.O,0.004378,0.8509,False,0.4613,626,189171075761.31,KLA Corporation,high,Semiconductor Materials & Equipment,13147428386.417767,13.147428386417767
TXN.O,0.016715,0.5087,False,0.3897,626,173288494544.41,Texas Instruments,high,Semiconductors,45981849200.32648,45.98184920032648
ADI.O,0.018904,0.4067,False,0.4539,626,150093486028.08,Analog Devices,high,Semiconductors,45042851492.87315,45.042851492873154
QCOM.O,0.009132,0.664,False,0.43,626,135626370000.0,Qualcomm,high,Semiconductors,19661668253.23444,19.66166825323444
RTX.N,0.004774,0.8635,False,0.1646,626,255344769276.2,RTX Corporation,high,Aerospace & Defense,19351725880.70317,19.35172588070317
BA.N,0.006552,0.814,False,0.1593,626,149719025552.8,Boeing,high,Aerospace & Defense,15572602700.684269,15.57260270068427
LMT.N,0.036355,0.2131,False,0.0487,626,141927790749.12,Lockheed Martin,high,Aerospace & Defense,81910940906.54643,81.91094090654643
NOC.N,0.034649,0.2551,False,0.0297,626,96364780659.0,Northrop Grumman,high,Aerospace & Defense,53005308357.027565,53.005308357027566
GD.N,0.020741,0.4748,False,0.1017,626,93918511107.12,General Dynamics,high,Aerospace & Defense,30923683073.619595,30.923683073619596
CAT.N,0.054672,0.0519,False,0.1908,626,323560810672.8,Caterpillar Inc.,high,Construction Machinery & Heavy Transportation Equipment,280822046156.7516,280.8220461567516
GE.N,0.006724,0.7984,False,0.1449,626,295488259741.62,GE Aerospace,high,Aerospace & Defense,31541203335.361996,31.541203335361995
ETN.N,0.039469,0.1137,False,0.3027,626,138650441102.4,Eaton Corporation,high,Electrical Components & Equipment,86873576587.5717,86.8735765875717
PH.N,0.033297,0.1742,False,0.2894,626,112135813024.76,Parker Hannifin,high,Industrial Machinery & Supplies & Components,59273389868.31001,59.27338986831001
HWM.N,0.007423,0.757,False,0.2017,626,91374240357.7,Howmet Aerospace,high,Aerospace & Defense,10767467339.974274,10.767467339974274
FCX.N,0.086569,0.0007,True,0.2201,626,80828218321.44,Freeport-McMoRan,high,Copper,111079963855.86766,111.07996385586766
WDC.O,0.011886,0.6294,False,0.3125,626,93350701443.48,Western Digital,high,"Technology Hardware, Storage & Peripherals",17614228854.378803,17.614228854378805
STX.O,0.065979,0.0162,True,0.2432,626,85145324656.32,Seagate Technology,high,"Technology Hardware, Storage & Peripherals",89181928168.84114,89.18192816884114
HON.O,-0.003317,0.9017,False,0.1765,626,,,,,,
