ticker,delta_RE,p_value,significant,r2,n_obs,market_cap_usd,Security,tier,GICS Sub-Industry,dollar_exposure_usd,exposure_billions
NVDA.O,-0.006007,0.7222,False,0.6929,643,4070736000000.0,Nvidia,high,Semiconductors,388305371269.77966,388.30537126977964
AAPL.O,-0.036809,0.0948,False,0.5451,643,3658032506400.0,Apple Inc.,high,"Technology Hardware, Storage & Peripherals",2138180712021.0557,2138.1807120210556
GOOG.O,-0.048473,0.0326,True,0.593,643,3315536940000.0,Alphabet Inc. (Class C),high,Interactive Media & Services,2552093598550.134,2552.0935985501337
GOOGL.O,-0.050172,0.0244,True,0.6019,643,3315536940000.0,Alphabet Inc. (Class A),high,Interactive Media & Services,2641545603252.477,2641.545603252477
AVGO.O,0.036715,0.082,False,0.5325,643,1423620029565.12,Broadcom,high,Semiconductors,830004506411.3643,830.0045064113642
TSLA.O,0.033186,0.218,False,0.324,643,1357742464770.72,"Tesla, Inc.",high,Automobile Manufacturers,715509061464.7701,715.5090614647702
MU.O,0.072403,0.0021,True,0.4469,643,402849157698.22,Micron Technology,high,Semiconductors,463171522501.49994,463.17152250149996
AMD.O,0.027379,0.1814,False,0.5142,643,329312129970.21,Advanced Micro Devices,high,Semiconductors,143175311881.02197,143.17531188102197
AMAT.O,0.083145,0.0001,True,0.5685,643,267581438856.39,Applied Materials,high,Semiconductor Materials & Equipment,353292933218.7225,353.29293321872245
LRCX.O,0.05689,0.0076,True,0.5427,643,264002677110.0,Lam Research,high,Semiconductor Materials & Equipment,238499291223.3667,238.4992912233667
INTC.O,0.099535,0.0005,True,0.2746,643,216556171133.64,Intel,high,Semiconductors,342286060599.99414,342.28606059999413
KLAC.O,0.072878,0.001,True,0.5333,643,189171075761.31,KLA Corporation,high,Semiconductor Materials & Equipment,218924318988.7692,218.9243189887692
TXN.O,0.084989,0.0004,True,0.4564,643,173288494544.41,Texas Instruments,high,Semiconductors,233870409538.90863,233.87040953890863
ADI.O,0.118445,0.0,True,0.5261,643,150093486028.08,Analog Devices,high,Semiconductors,282306842693.1065,282.3068426931065
QCOM.O,0.05789,0.0089,True,0.4827,643,135626370000.0,Qualcomm,high,Semiconductors,124678197751.97188,124.67819775197188
RTX.N,0.105162,0.0011,True,0.1573,643,255344769276.2,RTX Corporation,high,Aerospace & Defense,426411227222.93146,426.4112272229315
BA.N,0.1683,0.0,True,0.2087,643,149719025552.8,Boeing,high,Aerospace & Defense,400132599864.98334,400.1325998649833
LMT.N,0.080338,0.0066,True,0.0672,643,141927790749.12,Lockheed Martin,high,Aerospace & Defense,181063656520.96017,181.06365652096017
NOC.N,0.085437,0.0067,True,0.0362,643,96364780659.0,Northrop Grumman,high,Aerospace & Defense,130739601131.21136,130.73960113121137
GD.N,0.147479,0.0,True,0.153,643,93918511107.12,General Dynamics,high,Aerospace & Defense,219950124103.04236,219.95012410304236
CAT.N,0.229059,0.0,True,0.2796,643,323560810672.8,Caterpillar Inc.,high,Construction Machinery & Heavy Transportation Equipment,1176917724391.3499,1176.9177243913498
GE.N,0.156463,0.0,True,0.1937,643,295488259741.62,GE Aerospace,high,Aerospace & Defense,734166749744.5068,734.1667497445069
ETN.N,0.173832,0.0,True,0.3354,643,138650441102.4,Eaton Corporation,high,Electrical Components & Equipment,382731150247.8761,382.7311502478761
PH.N,0.158772,0.0,True,0.3167,643,112135813024.76,Parker Hannifin,high,Industrial Machinery & Supplies & Components,282722960469.27386,282.72296046927386
HWM.N,0.138097,0.0,True,0.2598,643,91374240357.7,Howmet Aerospace,high,Aerospace & Defense,200378375651.05002,200.37837565105002
FCX.N,0.256225,0.0,True,0.3382,643,80828218321.44,Freeport-McMoRan,high,Copper,328872330419.10925,328.87233041910923
WDC.O,0.121499,0.0,True,0.2828,643,93350701443.48,Western Digital,high,"Technology Hardware, Storage & Peripherals",180108047098.9664,180.1080470989664
STX.O,0.132106,0.0,True,0.2329,643,85145324656.32,Seagate Technology,high,"Technology Hardware, Storage & Peripherals",178618392591.35104,178.61839259135104
HON.O,0.144383,0.0,True,0.2538,643,,,,,,
