ticker,omega,alpha,gamma,beta,persistence,lb_pval,lb_clean
NVDA.O,1.261132,0.0617,0.1997,0.7158,0.8773,0.9489,YES
AAPL.O,0.143917,0.0273,0.1567,0.8478,0.9534,0.873,YES
GOOG.O,0.044504,0.0185,0.0366,0.9487,0.9855,0.964,YES
GOOGL.O,0.057639,0.0234,0.0378,0.9393,0.9816,0.9727,YES
AVGO.O,0.424852,0.1795,0.0041,0.7613,0.9428,0.8102,YES
TSLA.O,0.105351,0.0358,-0.0008,0.9572,0.9926,0.0395,NO
MU.O,0.33569,0.0429,0.0381,0.9014,0.9633,0.844,YES
AMD.O,0.37769,0.0085,0.0303,0.9445,0.9681,0.3042,YES
AMAT.O,0.355763,0.0629,0.0284,0.8706,0.9476,0.4973,YES
LRCX.O,0.166589,0.0227,0.0681,0.92,0.9768,0.2134,YES
INTC.O,0.014306,0.0276,-0.0078,0.9763,1.0,0.477,YES
KLAC.O,0.13808,0.0588,0.0051,0.9179,0.9792,0.8338,YES
TXN.O,0.142921,0.0556,0.0151,0.8935,0.9566,0.9959,YES
ADI.O,0.119795,0.0282,0.0683,0.9044,0.9668,0.8525,YES
QCOM.O,0.85888,0.1554,0.0273,0.6787,0.8478,0.9939,YES
RTX.N,0.03524,0.0,0.1088,0.9322,0.9866,0.8115,YES
BA.N,0.093551,0.0288,0.0689,0.9179,0.9811,0.508,YES
LMT.N,0.069395,0.0464,0.01,0.9142,0.9656,0.9995,YES
NOC.N,0.108193,0.0863,0.0187,0.8629,0.9585,0.9149,YES
GD.N,0.148294,0.0999,0.0681,0.7862,0.9201,0.732,YES
CAT.N,0.10266,0.0019,0.0648,0.9356,0.9699,0.4388,YES
GE.N,0.019222,0.025,0.0294,0.9581,0.9979,0.067,YES
ETN.N,0.375085,0.1856,0.0043,0.7001,0.8879,0.8378,YES
PH.N,0.135053,0.0021,0.1644,0.8752,0.9595,0.0557,YES
HWM.N,0.298622,0.0281,0.1019,0.8674,0.9464,0.9984,YES
FCX.N,0.447439,0.0399,0.0261,0.894,0.947,0.8198,YES
WDC.O,0.297513,0.0379,0.028,0.9152,0.9671,0.7823,YES
STX.O,0.177049,0.0267,-0.0006,0.9465,0.9729,0.745,YES
HON.O,0.126374,0.0898,0.0708,0.8074,0.9325,0.6647,YES
.MVREMXTR,0.049222,0.0531,0.0109,0.9281,0.9866,0.3802,YES
MARKET,0.105617,0.0476,0.1229,0.8506,0.9597,0.6942,YES
CSI_RE,0.142788,0.0836,-0.0007,0.8817,0.965,0.7841,YES
