ticker,delta_PPI,p_value,significant,r2,n_obs,market_cap_usd,Security,tier,GICS Sub-Industry
NVDA.O,-0.238972,0.1891,False,0.6964,117,4070736000000.0,Nvidia,high,Semiconductors
AAPL.O,0.009417,0.9363,False,0.5987,117,3658032506400.0,Apple Inc.,high,"Technology Hardware, Storage & Peripherals"
GOOG.O,0.229069,0.0264,True,0.667,117,3315536940000.0,Alphabet Inc. (Class C),high,Interactive Media & Services
GOOGL.O,0.221136,0.0317,True,0.6737,117,3315536940000.0,Alphabet Inc. (Class A),high,Interactive Media & Services
AVGO.O,-0.30939,0.0771,False,0.4465,117,1423620029565.12,Broadcom,high,Semiconductors
TSLA.O,-0.175739,0.5827,False,0.3616,117,1357742464770.72,"Tesla, Inc.",high,Automobile Manufacturers
MU.O,0.424181,0.0904,False,0.3774,117,402849157698.22,Micron Technology,high,Semiconductors
AMD.O,-0.21705,0.4481,False,0.4524,117,329312129970.21,Advanced Micro Devices,high,Semiconductors
AMAT.O,0.131919,0.5237,False,0.4519,117,267581438856.39,Applied Materials,high,Semiconductor Materials & Equipment
LRCX.O,0.12833,0.4906,False,0.5083,117,264002677110.0,Lam Research,high,Semiconductor Materials & Equipment
INTC.O,0.296525,0.1795,False,0.261,117,216556171133.64,Intel,high,Semiconductors
KLAC.O,0.092046,0.5582,False,0.511,117,189171075761.31,KLA Corporation,high,Semiconductor Materials & Equipment
TXN.O,-0.064259,0.6302,False,0.4211,117,173288494544.41,Texas Instruments,high,Semiconductors
ADI.O,0.02136,0.8855,False,0.3897,117,150093486028.08,Analog Devices,high,Semiconductors
QCOM.O,-0.129658,0.5007,False,0.3499,117,135626370000.0,Qualcomm,high,Semiconductors
RTX.N,0.015146,0.9255,False,0.2211,117,255344769276.2,RTX Corporation,high,Aerospace & Defense
BA.N,-0.022386,0.9281,False,0.1816,117,149719025552.8,Boeing,high,Aerospace & Defense
LMT.N,-0.069424,0.6715,False,0.104,117,141927790749.12,Lockheed Martin,high,Aerospace & Defense
NOC.N,-0.03721,0.8217,False,0.0513,117,96364780659.0,Northrop Grumman,high,Aerospace & Defense
GD.N,0.08284,0.5507,False,0.1784,117,93918511107.12,General Dynamics,high,Aerospace & Defense
CAT.N,-0.12143,0.4971,False,0.2883,117,323560810672.8,Caterpillar Inc.,high,Construction Machinery & Heavy Transportation Equipment
GE.N,-0.186141,0.3648,False,0.2868,117,295488259741.62,GE Aerospace,high,Aerospace & Defense
ETN.N,-0.218112,0.0986,False,0.4243,117,138650441102.4,Eaton Corporation,high,Electrical Components & Equipment
PH.N,-0.217783,0.1914,False,0.3887,117,112135813024.76,Parker Hannifin,high,Industrial Machinery & Supplies & Components
HWM.N,-0.05984,0.8169,False,0.167,117,91374240357.7,Howmet Aerospace,high,Aerospace & Defense
FCX.N,-0.133307,0.6389,False,0.2255,117,80828218321.44,Freeport-McMoRan,high,Copper
WDC.O,0.399262,0.1129,False,0.3885,117,93350701443.48,Western Digital,high,"Technology Hardware, Storage & Peripherals"
STX.O,0.528512,0.016,True,0.3574,117,85145324656.32,Seagate Technology,high,"Technology Hardware, Storage & Peripherals"
HON.O,-0.091489,0.5054,False,0.2767,117,,,,
