ticker,delta_PPI,p_value_PPI,significant_PPI,r2_PPI,delta_MVREMXTR,sig_MVREMXTR,r2_MV,delta_CSI,sig_CSI,r2_CSI
NVDA.O,-0.947544,0.3318,False,0.1456,-0.006007,False,0.6929,0.02989,False,0.6866
PH.N,-0.184634,0.1327,False,0.6578,0.158772,True,0.3167,0.033297,False,0.2894
HWM.N,-0.173853,0.4361,False,0.4035,0.138097,True,0.2598,0.007423,False,0.2017
ETN.N,-0.166829,0.1208,False,0.5691,0.173832,True,0.3354,0.039469,False,0.3027
HON.O,-0.09992,0.3876,False,0.5799,0.144383,True,0.2538,-0.003317,False,0.1765
AMD.O,-0.091455,0.815,False,0.3712,0.027379,False,0.5142,0.002385,False,0.4721
RTX.N,-0.071064,0.7177,False,0.2994,0.105162,True,0.1573,0.004774,False,0.1646
AAPL.O,-0.066397,0.7545,False,0.0863,-0.036809,False,0.5451,-0.025209,False,0.5001
LMT.N,-0.065856,0.689,False,0.2077,0.080338,True,0.0672,0.036355,False,0.0487
CAT.N,-0.059384,0.7796,False,0.4204,0.229059,True,0.2796,0.054672,False,0.1908
NOC.N,-0.056046,0.7216,False,0.1766,0.085437,True,0.0362,0.034649,False,0.0297
BA.N,-0.044068,0.8366,False,0.3508,0.1683,True,0.2087,0.006552,False,0.1593
TXN.O,-0.013837,0.9325,False,0.4263,0.084989,True,0.4564,0.016715,False,0.3897
QCOM.O,0.039462,0.843,False,0.4256,0.05789,True,0.4827,0.009132,False,0.43
ADI.O,0.093231,0.5642,False,0.464,0.118445,True,0.5261,0.018904,False,0.4539
FCX.N,0.100272,0.6552,False,0.4519,0.256225,True,0.3382,0.086569,True,0.2201
GD.N,0.10744,0.3893,False,0.3709,0.147479,True,0.153,0.020741,False,0.1017
GE.N,0.123145,0.7156,False,0.1059,0.156463,True,0.1937,0.006724,False,0.1449
LRCX.O,0.133832,0.6351,False,0.1467,0.05689,True,0.5427,-0.014123,False,0.49
GOOGL.O,0.14744,0.607,False,0.0749,-0.050172,True,0.6019,-0.051208,True,0.6237
GOOG.O,0.154225,0.5907,False,0.0754,-0.048473,True,0.593,-0.050796,True,0.6167
KLAC.O,0.169324,0.335,False,0.4938,0.072878,True,0.5333,0.004378,False,0.4613
AMAT.O,0.1946,0.3403,False,0.4843,0.083145,True,0.5685,-0.006224,False,0.4919
TSLA.O,0.27412,0.6202,False,0.1241,0.033186,False,0.324,0.009046,False,0.3157
MU.O,0.278935,0.3154,False,0.3296,0.072403,True,0.4469,0.005505,False,0.4387
AVGO.O,0.349662,0.4271,False,0.1204,0.036715,False,0.5325,-0.00308,False,0.5546
INTC.O,0.418029,0.0867,False,0.2325,0.099535,True,0.2746,0.03119,False,0.2399
WDC.O,0.41959,0.1439,False,0.4032,0.121499,True,0.2828,0.011886,False,0.3125
STX.O,0.647667,0.0038,True,0.3906,0.132106,True,0.2329,0.065979,True,0.2432
