ticker,re_index,beta_worst_full,beta_worst_shock,beta_worst_normal,beta_best_full,beta_best_shock,beta_med_full,beta_med_shock,avg_full,avg_shock,n_shock,n_normal,Security,tier
NVDA.O,CSI,-0.8451,-0.5198,0.866,1.117,0.8508,-0.0175,0.0065,0.0141,-0.0953,626,1796,Nvidia,high
AAPL.O,CSI,1.0354,-0.4734,0.0881,0.7925,1.9696,-0.2652,-0.1323,0.0399,0.1312,626,1796,Apple Inc.,high
GOOG.O,CSI,0.4401,1.9454,1.753,-0.7407,-1.8928,-0.4485,-0.4899,-0.1425,-0.0661,626,1796,Alphabet Inc. (Class C),high
GOOGL.O,CSI,0.0101,2.2526,2.2388,-0.7381,-2.1689,-0.2054,-0.1626,-0.1965,-0.0405,626,1796,Alphabet Inc. (Class A),high
AVGO.O,CSI,-0.1681,-0.1089,2.8403,0.8044,-0.7499,0.3006,0.1715,0.0081,-0.0187,626,1796,Broadcom,high
TSLA.O,CSI,-1.5784,1.9895,0.9302,0.2659,-1.6743,-0.1021,-0.0306,0.1359,-0.0224,626,1796,"Tesla, Inc.",high
MU.O,CSI,0.8529,-0.1607,3.4572,0.0299,0.0314,-0.0729,0.3065,0.1895,-0.2432,626,1796,Micron Technology,high
AMD.O,CSI,0.7145,0.4044,1.0375,-1.9697,-3.895,-0.4284,-0.0916,-0.0346,-0.2434,626,1796,Advanced Micro Devices,high
AMAT.O,CSI,-1.2474,1.4967,-1.3044,-0.9387,-0.3804,-0.0456,-0.004,0.1598,-0.1936,626,1796,Applied Materials,high
LRCX.O,CSI,-0.1457,-0.0424,2.1679,-0.7126,-3.3167,-0.1223,-0.0494,0.0869,-0.4496,626,1796,Lam Research,high
INTC.O,CSI,-1.0332,-0.5475,2.732,-0.5204,-0.6989,-0.1461,-0.0136,0.1294,0.055,626,1796,Intel,high
KLAC.O,CSI,-1.2135,1.9041,2.232,-0.6472,-1.3013,0.2743,0.0068,0.0871,-0.2296,626,1796,KLA Corporation,high
TXN.O,CSI,0.2522,-0.3307,3.7732,0.2078,1.2309,0.2667,-0.0274,0.1339,0.022,626,1796,Texas Instruments,high
ADI.O,CSI,0.5999,-0.1528,5.3436,-0.3089,-0.7646,-0.0504,0.0745,0.3768,0.0866,626,1796,Analog Devices,high
QCOM.O,CSI,0.9603,0.8459,2.0186,-0.9053,-1.099,0.2323,0.5359,0.2768,-0.1213,626,1796,Qualcomm,high
RTX.N,CSI,-0.5244,0.5763,3.656,-0.8989,-1.6297,-0.0412,-0.0151,0.0768,-0.0889,626,1796,RTX Corporation,high
BA.N,CSI,-1.1117,1.4768,3.095,0.9993,-2.5416,-0.3448,-0.2947,0.0652,-0.2023,626,1796,Boeing,high
LMT.N,CSI,-0.4279,1.9305,2.8694,-3.102,-1.2435,-0.4404,-0.0454,-0.0312,-0.1244,626,1796,Lockheed Martin,high
NOC.N,CSI,-4.582,0.1565,3.0536,-0.6829,-0.6503,-0.5296,-0.2641,-0.0359,-0.2344,626,1796,Northrop Grumman,high
GD.N,CSI,1.0516,-1.2884,4.2539,0.2071,-1.8364,-0.5293,0.0297,0.0475,-0.2264,626,1796,General Dynamics,high
CAT.N,CSI,-1.3508,0.0255,0.5144,1.2332,-0.67,0.398,0.1457,0.1632,-0.0401,626,1796,Caterpillar Inc.,high
GE.N,CSI,-3.6055,0.7792,1.7487,1.0554,-1.9507,-0.0242,-0.0325,0.1536,0.012,626,1796,GE Aerospace,high
ETN.N,CSI,-1.1001,-0.5998,2.6926,0.8231,-0.8971,-0.1955,-0.2244,0.0923,-0.1893,626,1796,Eaton Corporation,high
PH.N,CSI,-0.2658,0.3651,1.9385,0.5925,-0.6289,0.196,0.1812,0.2659,0.1368,626,1796,Parker Hannifin,high
HWM.N,CSI,-0.2755,-0.0574,1.5256,0.9204,-0.7018,0.0666,-0.0323,0.2198,-0.2108,626,1796,Howmet Aerospace,high
FCX.N,CSI,0.2458,-0.2453,0.8841,-0.2093,-0.8066,-0.1084,0.3588,0.261,0.0042,626,1796,Freeport-McMoRan,high
WDC.O,CSI,-1.0929,0.6009,1.7089,2.5152,-1.0527,0.2149,0.3875,0.1929,-0.1781,626,1796,Western Digital,high
STX.O,CSI,-0.4624,-1.0814,3.344,0.7148,0.1341,-0.0861,0.1817,-0.0077,-0.0955,626,1796,Seagate Technology,high
HON.O,CSI,-0.531,-1.9985,2.3045,0.812,-0.0432,0.2669,0.1592,0.2008,-0.0852,626,1796,,
