Date,SMM-REM-NDM,SMM-REO-DXO,SMM-MIN-GAL,SMM-MIN-GMN,SMM-REM-RCB
2018-01-02,410000,1150.0,960,9250,523500
2018-01-03,410000,1150.0,960,9250,523500
2018-01-04,410000,1155.0,960,9250,523500
2018-01-05,410000,1155.0,990,9250,523500
2018-01-08,410000,1160.0,990,9250,534000
2018-01-09,450000,1180.0,1020,9250,534000
2018-01-10,450000,1180.0,1040,9450,539000
2018-01-11,450000,1180.0,1040,9450,544000
2018-01-12,450000,1180.0,1060,9450,544000
2018-01-15,450000,1180.0,1080,9550,549000
2018-01-16,450000,1180.0,1080,9550,549000
2018-01-17,450000,1180.0,1100,9550,549000
2018-01-18,450000,1180.0,1100,9550,557500
2018-01-19,450000,1180.0,1100,9550,557500
2018-01-22,445000,1180.0,1125,9650,560500
2018-01-23,445000,1180.0,1125,9650,560500
2018-01-24,445000,1180.0,1140,9650,560500
2018-01-25,445000,1180.0,1140,9750,560500
2018-01-26,445000,1180.0,1160,9750,567500
2018-01-29,445000,1180.0,1160,9750,567500
2018-01-30,445000,1180.0,1180,9750,572500
2018-01-31,445000,1180.0,1180,9750,572500
2018-02-01,445000,1180.0,1180,9750,577500
2018-02-02,445000,1180.0,1220,9750,577500
2018-02-05,445000,1180.0,1220,9750,577500
2018-02-06,445000,1180.0,1220,9750,577500
2018-02-07,445000,1180.0,1220,9750,577500
2018-02-08,445000,1180.0,1220,9750,577500
2018-02-09,445000,1180.0,1220,9750,577500
2018-02-12,445000,1180.0,1220,9750,577500
2018-02-13,445000,1180.0,1220,9750,577500
2018-02-14,445000,1180.0,1220,9750,577500
2018-02-22,445000,1180.0,1220,9750,577500
2018-02-23,445000,1180.0,1220,9750,577500
2018-02-26,445000,1180.0,1220,9750,592500
2018-02-27,445000,1180.0,1270,10100,592500
2018-02-28,450000,1195.0,1320,10100,592500
2018-03-01,450000,1200.0,1320,10200,601500
2018-03-02,450000,1200.0,1320,10200,601500
2018-03-05,450000,1200.0,1370,10200,601500
2018-03-06,470000,1210.0,1370,10200,601500
2018-03-07,470000,1210.0,1370,10200,601500
2018-03-08,470000,1210.0,1400,10200,606500
2018-03-09,470000,1230.0,1400,10200,606500
2018-03-12,470000,1230.0,1430,10350,606500
2018-03-13,467500,1220.0,1430,10350,613000
2018-03-14,467500,1220.0,1430,10350,613000
2018-03-15,457500,1215.0,1430,10350,630000
2018-03-16,457500,1215.0,1430,10350,630000
2018-03-19,455000,1215.0,1430,10350,632500
2018-03-20,450000,1195.0,1430,10350,632500
2018-03-21,450000,1195.0,1430,10350,650000
2018-03-22,450000,1195.0,1430,10350,650000
2018-03-23,450000,1195.0,1430,10350,660000
2018-03-26,450000,1195.0,1430,10350,660000
2018-03-27,450000,1195.0,1430,10350,660000
2018-03-28,450000,1195.0,1430,10350,660000
2018-03-29,450000,1195.0,1430,10350,660000
2018-03-30,447500,1195.0,1430,10350,665000
2018-04-02,447500,1195.0,1430,10350,665000
2018-04-03,447500,1190.0,1420,10350,665000
2018-04-04,447500,1190.0,1420,10350,665000
2018-04-09,442500,1182.5,1400,10350,671000
2018-04-10,442500,1182.5,1375,10350,671000
2018-04-11,442500,1182.5,1375,10350,671000
2018-04-12,442500,1182.5,1325,10350,674000
2018-04-13,442500,1170.0,1325,10350,674000
2018-04-16,437500,1170.0,1325,10350,674000
2018-04-17,437500,1170.0,1325,10350,669000
2018-04-18,437500,1170.0,1325,10350,669000
2018-04-19,435000,1165.0,1325,10350,669000
2018-04-20,435000,1165.0,1325,10350,669000
2018-04-23,435000,1165.0,1325,10350,662500
2018-04-24,425000,1155.0,1325,10450,662500
2018-04-25,425000,1155.0,1325,10450,662500
2018-04-26,425000,1155.0,1325,10450,662500
2018-04-27,425000,1155.0,1325,10450,662500
2018-05-02,425000,1155.0,1325,10450,662500
2018-05-03,425000,1155.0,1325,10450,652500
2018-05-04,425000,1155.0,1325,10450,632500
2018-05-07,422500,1155.0,1325,10450,632500
2018-05-08,422500,1155.0,1325,10250,632500
2018-05-09,422500,1155.0,1325,10250,625000
2018-05-10,422500,1155.0,1325,10250,625000
2018-05-11,412500,1155.0,1325,10250,625000
2018-05-14,412500,1155.0,1325,10250,625000
2018-05-15,412500,1155.0,1325,10250,625000
2018-05-16,412500,1155.0,1325,10250,625000
2018-05-17,412500,1155.0,1325,10250,619000
2018-05-18,412500,1155.0,1325,10250,619000
2018-05-21,412500,1155.0,1325,10150,616500
2018-05-22,412500,1155.0,1325,10150,616500
2018-05-23,412500,1155.0,1325,10150,612500
2018-05-24,412500,1155.0,1325,10150,612500
2018-05-25,412500,1155.0,1325,10150,612500
2018-05-28,412500,1155.0,1325,9950,612500
2018-05-29,412500,1155.0,1325,9950,612500
2018-05-30,412500,1155.0,1325,9950,612500
2018-05-31,412500,1155.0,1325,9950,602500
2018-06-01,412500,1155.0,1325,9850,602500
2018-06-04,412500,1155.0,1325,9850,595000
2018-06-05,412500,1155.0,1325,9850,595000
2018-06-06,412500,1155.0,1305,9850,590000
2018-06-07,412500,1155.0,1305,9850,590000
2018-06-08,412500,1155.0,1305,9850,590000
2018-06-11,412500,1165.0,1305,9850,590000
2018-06-12,412500,1165.0,1305,9700,585000
2018-06-13,422500,1172.5,1295,9700,585000
2018-06-14,422500,1172.5,1295,9700,575000
2018-06-15,422500,1175.0,1295,9700,575000
2018-06-19,422500,1175.0,1295,9700,567500
2018-06-20,422500,1175.0,1285,9700,560000
2018-06-21,422500,1175.0,1275,9700,560000
2018-06-22,422500,1175.0,1275,9700,560000
2018-06-25,422500,1170.0,1275,9700,560000
2018-06-26,422500,1170.0,1275,9700,555000
2018-06-27,,,1275,9700,555000
2018-06-28,420000,1162.5,1275,9700,551500
2018-06-29,420000,1162.5,1245,9700,551500
2018-07-02,415000,1157.5,1245,9700,547500
