Date,SMM-REM-NDM,SMM-REO-DXO,SMM-REM-PRT,SMM-REM-LMT,SMM-REM-CRM,SMM-REM-TRM,SMM-REM-YMT,SMM-REM-GXO,SMM-REO-SXO,SMM-REO-EXO,SMM-MIN-GAL,SMM-MIN-GMN
2016-04-05,315000,1200.0,460000,29500,30500,3150,230.0,69500,12500,425.0,730,8100
2016-04-06,315000,1200.0,460000,29500,30500,3150,230.0,69500,12500,425.0,720,8100
2016-04-07,315000,1200.0,460000,29500,30500,3150,230.0,69500,12500,425.0,720,8100
2016-04-08,315000,1200.0,460000,29500,30500,3150,230.0,69500,12500,425.0,720,8100
2016-04-11,315000,1200.0,460000,29500,30500,3150,230.0,69500,12500,425.0,720,8100
2016-04-12,315000,1200.0,460000,29500,30500,3150,230.0,69500,12500,425.0,720,8100
2016-04-13,315000,1200.0,460000,29500,30500,3150,230.0,69500,12500,425.0,720,7900
2016-04-14,315000,1200.0,460000,29500,30500,3150,230.0,69500,12500,425.0,720,7900
2016-04-15,315000,1200.0,460000,29500,30500,3150,230.0,69500,12500,425.0,720,7900
2016-04-18,315000,1200.0,460000,29500,30500,3150,230.0,69500,12500,425.0,720,7900
2016-04-19,315000,1200.0,460000,29500,30500,3150,230.0,69500,12500,425.0,720,7900
2016-04-20,315000,1200.0,460000,29500,30500,3150,230.0,69500,12500,425.0,720,7900
2016-04-21,315000,1210.0,460000,29500,30500,3150,230.0,70500,12500,425.0,720,7900
2016-04-22,315000,1210.0,460000,29500,30500,3150,230.0,70500,12500,425.0,720,7900
2016-04-25,315000,1215.0,460000,29500,30500,3150,230.0,70500,12500,410.0,720,7900
2016-04-26,315000,1215.0,460000,29500,30500,3150,230.0,70500,12500,410.0,710,7900
2016-04-27,315000,1215.0,460000,29500,30500,3150,230.0,70500,12500,410.0,710,7900
2016-04-28,315000,1240.0,460000,29500,30500,3150,230.0,70500,12500,410.0,710,7900
2016-04-29,315000,1240.0,460000,29500,30500,3150,230.0,72000,12500,410.0,710,7900
2016-05-03,315000,1240.0,460000,29500,30500,3150,230.0,72000,12500,410.0,710,7700
2016-05-04,326000,1260.0,460000,29500,30500,3275,230.0,72000,12500,410.0,710,7700
2016-05-05,327500,1275.0,460000,29500,30500,3275,230.0,72000,12500,410.0,710,7700
2016-05-06,332500,1275.0,460000,29500,30500,3425,230.0,74000,12500,410.0,710,7700
2016-05-09,332500,1275.0,460000,29500,30500,3425,230.0,74000,12500,410.0,710,7700
2016-05-10,336000,1295.0,460000,29500,30500,3650,230.0,74000,12500,410.0,710,7700
2016-05-11,337500,1295.0,460000,29500,30500,3650,230.0,74000,12500,410.0,710,7500
2016-05-12,339000,1295.0,460000,29500,30500,3700,230.0,74000,12500,410.0,710,7500
2016-05-13,339000,1315.0,460000,29500,30500,3800,230.0,76500,12500,410.0,710,7500
2016-05-16,339000,1315.0,460000,29500,30500,3800,230.0,77500,12500,425.0,710,7500
2016-05-17,339000,1315.0,460000,29500,30500,3800,230.0,77500,12500,425.0,710,7500
2016-05-18,339000,1315.0,460000,29500,30500,3750,230.0,77500,12500,425.0,710,7500
2016-05-19,338000,1315.0,460000,29500,30500,3750,230.0,77500,12500,425.0,710,7500
2016-05-20,338000,1315.0,460000,29500,30500,3750,230.0,77500,12500,425.0,710,7500
2016-05-23,338000,1315.0,460000,29500,30500,3750,230.0,77500,12500,425.0,710,7500
2016-05-24,338000,1315.0,460000,29500,30500,3750,230.0,77500,12500,425.0,710,7500
2016-05-25,338000,1315.0,460000,29500,30500,3750,230.0,77500,12500,425.0,710,7500
